,EXLS
% Below High,0.0206
% Held by Institutions,0.9734
52-Wk Range,['112.14 - 191.18']
Annual Dividend $,
Annual Dividend %,
Ask,187.87
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.0
Bid,186.59
Bid Size,400.0
Closing Price,187.23
Day Change $,1.67
Day Change %,0.009000000000000001
Day High,188.65
Day Low,184.54
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.12
Ex-dividend Date,No dividend
Historical Volatility,0.36700000000000005
Last (size),21.0
Last (time),1:00p ET 11/25/22
Market Cap,6.2B
"P/E Ratio (TTM, GAAP)",45.47
Prev Close,185.56
Short Interest,0.0297
Today's Open,184.54
Volume,40151.0
Volume 10-day Avg,230609.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.24210526315789482
Growth 1yr High Est,0.21052631578947367
Growth 1yr Consensus Est,0.22631578947368425
Growth 2yr Low Est,0.1634255129348796
Growth 2yr High Est,0.17131666960042236
Growth 2yr Consensus Est,0.16737109126765098
Growth 5yr Low Est,0.2135829115061995
Growth 5yr High Est,0.2262013083622315
Growth 5yr Consensus Est,0.2198921099342155
Growth 5yr Actual/Est,0.21327030286931697
Growth 3yr Historic,0.1276666941701734
Price/Earnings (TTM),45.47188
Price/Sales (TTM),4.64477
Price/Book (MRQ),8.78269
Price/Cash Flow (TTM),31.97223
5yr Low,40.61
5yr High,191.18
5yr Avg Return,0.23298333333333335
EPS Growth 5yr,0.1341182
Revenue Growth 5yr,0.1034634
Dividend Growth 5yr,
Short Int Current Month,956376.0
Short Int Prev Month,1089942.0
Short Int Pct of Float,0.029748899999999998
Days to Cover,3.80806
Float,31.88749
Shares Outstanding,33.06461
Institutions Holding Shares,423.0
FCF Growth 5yr,-0.49153073889909243
"Price/Earnings (TTM, GAAP)",45.47
"PEG Ratio (TTM, GAAP)",2.71
Gross Profit Margin (TTM),0.3676
Operating Profit Margin (TTM),0.133
Net Profit Margin (TTM),0.1043
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.09230000000000001
EPS Growth (TTM),0.1916
Revenue Growth (MRQ),0.042
Revenue Growth (TTM),0.239
Return On Equity (TTM),0.20070000000000002
Return On Assets (TTM),0.1118
Return On Investment (TTM),0.1406
Revenue Per Employee (TTM),35637.0
Total Debt/Total Capital (MRQ),0.2774
Change in Debt/Total Capital Quarter over Quarter,0.0029
Quick Ratio (MRQ),2.02
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-08-12 00:00:00
researchTeam since,2021-06-18 00:00:00
ford since,2021-06-18 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
