,APPF
% Below High,0.1039
% Held by Institutions,0.7861
52-Wk Range,['79.92 - 129.39']
Annual Dividend $,
Annual Dividend %,
Ask,187.53
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.0
Bid,105.63
Bid Size,100.0
Closing Price,115.94
Day Change $,-0.96
Day Change %,-0.008199999999999999
Day High,117.89
Day Low,115.85
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.43
Ex-dividend Date,No dividend
Historical Volatility,0.478
Last (size),9.0
Last (time),12:59p ET 11/25/22
Market Cap,4.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,116.9
Short Interest,0.031
Today's Open,116.73
Volume,21883.0
Volume 10-day Avg,87901.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,2.571428571428571
Growth 1yr High Est,-0.75
Growth 1yr Consensus Est,0.9107142857142856
Growth 2yr Low Est,1.2257142857142855
Growth 2yr High Est,12.5
Growth 2yr Consensus Est,6.862857142857143
Growth 5yr Low Est,0.47858953872376686
Growth 5yr High Est,8.011444921316166
Growth 5yr Consensus Est,4.2450172300199664
Growth 5yr Actual/Est,-1.343408850026497
Growth 3yr Historic,0.5899244833068364
Price/Earnings (TTM),
Price/Sales (TTM),9.19339
Price/Book (MRQ),14.98249
Price/Cash Flow (TTM),
5yr Low,37.56
5yr High,186.59
5yr Avg Return,0.2558166666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.277577
Dividend Growth 5yr,
Short Int Current Month,585637.0
Short Int Prev Month,683925.0
Short Int Pct of Float,0.0309586
Days to Cover,3.55714
Float,18.76024
Shares Outstanding,35.16113
Institutions Holding Shares,213.0
FCF Growth 5yr,-1.651373505743308
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5928
Operating Profit Margin (TTM),-0.1348
Net Profit Margin (TTM),-0.11220000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.8616
EPS Growth (TTM),-28.9195
Revenue Growth (MRQ),0.065
Revenue Growth (TTM),0.3189
Return On Equity (TTM),-0.1766
Return On Assets (TTM),-0.12560000000000002
Return On Investment (TTM),-0.1452
Revenue Per Employee (TTM),277141.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-05-10 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-07-29 00:00:00
