,APPF,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),9.19,9.39,Valuation,0.9787007454739083
Price/Book (MRQ),14.98,12.63,Valuation,1.1860649247822643
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.5928,0.7206,Profitability,0.8226477935054122
Operating Profit Margin (TTM),-0.1348,0.2172,Profitability,-0.6206261510128913
Net Profit Margin (TTM),-0.11220000000000001,0.1553,Profitability,-0.7224726336123632
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.8616,-0.0752,Gowth rates,-11.457446808510639
EPS Growth (TTM),-28.9195,-0.2824,Gowth rates,102.40616147308782
Revenue Growth (MRQ),0.065,0.15560000000000002,Gowth rates,0.4177377892030848
Revenue Growth (TTM),0.3189,0.1906,Gowth rates,1.6731374606505773
Return On Equity (TTM),-0.1766,0.2189,Effectiveness,-0.806761078117862
Return On Assets (TTM),-0.12560000000000002,0.10740000000000001,Effectiveness,-1.1694599627560522
Return On Investment (TTM),-0.1452,0.1387,Effectiveness,-1.0468637346791636
Revenue Per Employee (TTM),277141.0,667721.0,Effectiveness,0.4150550903745726
Total Debt/Total Capital (MRQ),0.0,0.39659999999999995,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0004,Financial strength,
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
