,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,46.74,60.31,67.69,76.08,121.43,121.1,,,,,
low,39.9,33.96,51.02,48.79,67.09,74.2,,,,,
change,-0.1101,0.32280000000000003,0.2047,0.1309,0.6509,-0.2111,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,4.0,3.0,4.0,3.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,18.0,16.0,17.0,21.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-3.0,-3.0,-3.0,-3.0,Balance Sheet
"Total Receivables, Net",,,,,,,15.0,13.0,15.0,18.0,Balance Sheet
Total Inventory,,,,,,,5.0,5.0,6.0,6.0,Balance Sheet
Prepaid Expenses,,,,,,,3.0,3.0,4.0,4.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,7.0,8.0,10.0,11.0,Balance Sheet
Total Current Assets,,,,,,,34.0,33.0,39.0,41.0,Balance Sheet
Construction in Progress,,,,,,,25.0,37.0,42.0,59.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,7.0,7.0,7.0,7.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,32.0,45.0,49.0,66.0,Balance Sheet
Accumulated Depreciation,,,,,,,-3.0,-3.0,-3.0,-3.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,41.0,53.0,57.0,74.0,Balance Sheet
Utility Plant,,,,,,,1040.0,1023.0,1044.0,1053.0,Balance Sheet
Utlty. Plnt. Accum. Deprc.,,,,,,,-200.0,-203.0,-207.0,-212.0,Balance Sheet
"Total Utility Plant, Net",,,,,,,840.0,821.0,837.0,841.0,Balance Sheet
Deferred Charges,,,,,,,4.0,3.0,3.0,3.0,Balance Sheet
Restricted Cash - LT,,,,,,,0.0,,,,Balance Sheet
Other Long Term Assets,,,,,,,101.0,100.0,102.0,105.0,Balance Sheet
Total Assets,,,,,,,1020.0,1010.0,1038.0,1065.0,Balance Sheet
Accounts Payable,,,,,,,21.0,18.0,24.0,26.0,Balance Sheet
Accrued Expenses,,,,,,,3.0,3.0,3.0,3.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,13.0,15.0,28.0,41.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,7.0,7.0,8.0,8.0,Balance Sheet
Customer Advances,,,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Income Taxes Payable,,,,,,,9.0,14.0,13.0,13.0,Balance Sheet
Other Current Liabilities,,,,,,,3.0,2.0,2.0,2.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,13.0,17.0,16.0,16.0,Balance Sheet
Total Current Liabilities,,,,,,,57.0,60.0,79.0,93.0,Balance Sheet
Total Long Term Debt,,,,,,,307.0,307.0,305.0,301.0,Balance Sheet
Total Debt,,,,,,,326.0,328.0,341.0,349.0,Balance Sheet
Deferred Income Tax,,,,,,,70.0,72.0,74.0,77.0,Balance Sheet
Pension Benefits - Underfunded,,,,,,,11.0,10.0,9.0,8.0,Balance Sheet
Other LT Liabilities,,,,,,,206.0,181.0,183.0,185.0,Balance Sheet
"Other Liabilities, Total",,,,,,,218.0,191.0,192.0,193.0,Balance Sheet
Total Liabilities,,,,,,,650.0,630.0,650.0,665.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,,2.0,2.0,2.0,2.0,Balance Sheet
Common Stock,,,,,,,222.0,225.0,229.0,232.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,146.0,153.0,157.0,166.0,Balance Sheet
