,MSEX
% Above Low,0.277
% Held by Institutions,0.7006999999999999
52-Wk Range,['74.20 - 121.43']
Annual Dividend $,1.25
Annual Dividend %,0.0132
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.7
Bid,
Bid Size,
Closing Price,94.75
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",2.4
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.305
Last (size),8.0
Last (time),1:00p ET 11/25/22
Market Cap,1.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",39.49
Prev Close,94.75
Short Interest,0.0378
Today's Open,
Volume,28569.0
Volume 10-day Avg,70594.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.212264150943396
Growth 1yr High Est,0.1843317972350229
Growth 1yr Consensus Est,0.19829797408920946
Growth 2yr Low Est,0.06916709492695094
Growth 2yr High Est,0.1466406067887177
Growth 2yr Consensus Est,0.10790385085783433
Growth 5yr Low Est,0.0563784192583473
Growth 5yr High Est,0.09457030339435885
Growth 5yr Consensus Est,0.07547436132635307
Growth 5yr Actual/Est,0.07377988636740632
Growth 3yr Historic,0.008529599707882612
Price/Earnings (TTM),39.48558
Price/Sales (TTM),10.60207
Price/Book (MRQ),4.19821
Price/Cash Flow (TTM),23.19322
5yr Low,33.96
5yr High,121.43
5yr Avg Return,0.16468333333333335
EPS Growth 5yr,0.0845278
Revenue Growth 5yr,0.0149482
Dividend Growth 5yr,0.06522230000000001
Short Int Current Month,654700.0
Short Int Prev Month,708917.0
Short Int Pct of Float,0.0378393
Days to Cover,7.82582
Float,17.32404
Shares Outstanding,17.63859
Institutions Holding Shares,255.0
FCF Growth 5yr,1.1650648451235543
"Price/Earnings (TTM, GAAP)",39.49
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2888
Net Profit Margin (TTM),0.2696
Annual Dividend Yield,0.013200000000000002
Dividend Change %,0.0636
"Dividend Growth Rate, 3 Years",0.0672
EPS Growth (MRQ),0.6083
EPS Growth (TTM),0.1243
Revenue Growth (MRQ),0.2028
Revenue Growth (TTM),0.0966
Return On Equity (TTM),0.1115
Return On Assets (TTM),0.0406
Return On Investment (TTM),0.044500000000000005
Revenue Per Employee (TTM),454280.0
Total Debt/Total Capital (MRQ),0.4661
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),0.38
Interest Coverage (MRQ),7.04
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-07-16 00:00:00
theStreet since,2022-07-26 00:00:00
ford since,2022-07-01 00:00:00
cfra since,
marketEdge opinion since,
