,MPC
% Below High,0.019
% Held by Institutions,0.7614
52-Wk Range,['59.55 - 127.62']
Annual Dividend $,3.0
Annual Dividend %,0.024
Ask,124.2
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.6
Bid,120.37
Bid Size,300.0
Change Since Close,-1.70| |(-1.36%)
Closing Price,125.2
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-12 00:00:00
"EPS (TTM, GAAP)",22.78
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.36100000000000004
Last (size),35.0
Last (time),5:00p ET 11/25/22
Last Trade,123.5
Market Cap,58.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.5
Prev Close,125.2
Short Interest,0.0274
Today's Open,
Volume,313.0
Volume 10-day Avg,3394818.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.6304721030042919
Growth 2yr High Est,0.1274914089347079
Growth 2yr Consensus Est,-0.251490347034792
Growth 5yr Low Est,-0.6304721030042919
Growth 5yr High Est,0.1274914089347079
Growth 5yr Consensus Est,-0.251490347034792
Growth 5yr Actual/Est,1.4181437945512723
Growth 3yr Historic,-0.8521413944073063
Price/Earnings (TTM),5.49519
Price/Sales (TTM),0.33649
Price/Book (MRQ),2.23231
Price/Cash Flow (TTM),3.50411
5yr Low,15.26
5yr High,127.35
5yr Avg Return,0.19135000000000002
EPS Growth 5yr,-0.0182191
Revenue Growth 5yr,0.1380895
Dividend Growth 5yr,0.11273
Short Int Current Month,12815165.0
Short Int Prev Month,13811721.0
Short Int Pct of Float,0.0274397
Days to Cover,3.73878
Float,466.9808
Shares Outstanding,468.6608
Institutions Holding Shares,1608.0
FCF Growth 5yr,1.0363461052111071
"Price/Earnings (TTM, GAAP)",5.5
"PEG Ratio (TTM, GAAP)",0.25
Gross Profit Margin (TTM),0.13820000000000002
Operating Profit Margin (TTM),0.1054
Net Profit Margin (TTM),0.0775
Annual Dividend Yield,0.024
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0803
EPS Growth (MRQ),-0.1729
EPS Growth (TTM),29.284000000000002
Revenue Growth (MRQ),-0.1478
Revenue Growth (TTM),0.6855
Return On Equity (TTM),0.4385
Return On Assets (TTM),0.151
Return On Investment (TTM),0.2151
Revenue Per Employee (TTM),9851808.0
Total Debt/Total Capital (MRQ),0.4415
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),1.19
Interest Coverage (MRQ),23.09
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-03-03 00:00:00
cfra since,2020-12-18 00:00:00
ford since,2022-06-17 00:00:00
marketEdge opinion since,
