,ROST
% Below High,0.0060999999999999995
% Held by Institutions,0.8998999999999999
52-Wk Range,['69.24 - 117.29']
Annual Dividend $,1.24
Annual Dividend %,0.010700000000000001
Ask,116.62
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.0
Bid,116.57
Bid Size,200.0
Day Change $,0.6304
Day Change %,0.0054
Day High,117.17
Day Low,115.61
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",4.12
Ex-dividend,2022-12-05 00:00:00
Ex-dividend Date,12/05/22
Historical Volatility,0.47200000000000003
Last (size),166.0
Last (time),1:11p ET 11/28/22
Market Cap,40.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.14
Prev Close,115.94
Price,116.57
Short Interest,0.0181
Today's Open,115.71
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,-0.08817204301075277
Growth 1yr High Est,-0.1487279843444228
Growth 1yr Consensus Est,-0.11845001367758778
Growth 2yr Low Est,-0.0063501724487727285
Growth 2yr High Est,0.04747508828755881
Growth 2yr Consensus Est,0.02056245791939304
Growth 5yr Low Est,0.0028821824980806154
Growth 5yr High Est,0.05025269565893095
Growth 5yr Consensus Est,0.026567439078505783
Growth 5yr Actual/Est,1.1153070297252297
Growth 3yr Historic,1.103288740245262
Price/Earnings (TTM),28.14132
Price/Sales (TTM),2.17479
Price/Book (MRQ),9.70303
Price/Cash Flow (TTM),22.098
5yr Low,56.3
5yr High,134.22
5yr Avg Return,0.09486666666666667
EPS Growth 5yr,0.114679
Revenue Growth 5yr,0.0801229
Dividend Growth 5yr,0.1611871
Short Int Current Month,6135453.0
Short Int Prev Month,7303994.0
Short Int Pct of Float,0.0181425
Days to Cover,2.19449
Float,338.1968
Shares Outstanding,347.0628
Institutions Holding Shares,1074.0
FCF Growth 5yr,-1.0202968967928825
"Price/Earnings (TTM, GAAP)",28.14
"PEG Ratio (TTM, GAAP)",4.97
Gross Profit Margin (TTM),0.2545
Operating Profit Margin (TTM),0.1039
Net Profit Margin (TTM),0.07740000000000001
Annual Dividend Yield,0.010700000000000001
Dividend Change %,3.0
"Dividend Growth Rate, 3 Years",0.08199999999999999
EPS Growth (MRQ),-0.1043
EPS Growth (TTM),-0.0808
Revenue Growth (MRQ),-0.0038
Revenue Growth (TTM),0.0197
Return On Equity (TTM),0.3522
Return On Assets (TTM),0.106
Return On Investment (TTM),0.1501
Revenue Per Employee (TTM),185023.0
Total Debt/Total Capital (MRQ),0.3719
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),1.23
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-19 00:00:00
theStreet since,2022-05-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-08-20 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
