,USM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",21.75,108.35,Valuation,0.20073834794646978
Price/Sales (TTM),0.44,2.36,Valuation,0.1864406779661017
Price/Book (MRQ),0.4,2.78,Valuation,0.14388489208633096
"PEG Ratio (TTM, GAAP)",2.01,2.14,Valuation,0.939252336448598
Gross Profit Margin (TTM),0.5254,0.5866,Profitability,0.895669962495738
Operating Profit Margin (TTM),0.024100000000000003,0.0609,Profitability,0.3957307060755337
Net Profit Margin (TTM),0.0215,0.0244,Profitability,0.8811475409836065
Annual Dividend Yield,,0.0005,Dividend,
Dividend Change %,,-0.0039000000000000003,Dividend,
"Dividend Growth Rate, 3 Years",,-0.0017000000000000001,Dividend,
EPS Growth (MRQ),-1.5849000000000002,-0.2884,Gowth rates,5.495492371705965
EPS Growth (TTM),0.021,-0.5058,Gowth rates,-0.04151838671411625
Revenue Growth (MRQ),0.0545,-0.0034999999999999996,Gowth rates,-15.571428571428573
Revenue Growth (TTM),0.015300000000000001,0.0196,Gowth rates,0.7806122448979592
Return On Equity (TTM),0.0187,0.018500000000000003,Effectiveness,1.0108108108108107
Return On Assets (TTM),0.0085,0.010700000000000001,Effectiveness,0.794392523364486
Return On Investment (TTM),0.0094,0.0102,Effectiveness,0.9215686274509803
Revenue Per Employee (TTM),872708.0,1057646.0,Effectiveness,0.825141871665945
Total Debt/Total Capital (MRQ),0.4037,0.5368,Financial strength,0.7520491803278688
Change in Debt/Total Capital Quarter over Quarter,0.001,0.0009,Financial strength,1.1111111111111112
Quick Ratio (MRQ),1.3,0.76,Financial strength,1.7105263157894737
Interest Coverage (MRQ),,4.25,Financial strength,
