,USM
% Above Low,0.001
% Held by Institutions,0.2606
52-Wk Range,['20.34 - 33.00']
Annual Dividend $,
Annual Dividend %,
Ask,20.57
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,20.15
Bid Size,100.0
Closing Price,20.36
Day Change $,-1.06
Day Change %,-0.0495
Day High,21.89
Day Low,20.34
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.98
Ex-dividend Date,No dividend
Historical Volatility,0.40399999999999997
Last (size),143.0
Last (time),7:00p ET 11/28/22
Market Cap,1.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",21.75
Prev Close,21.42
Short Interest,0.0582
Today's Open,21.25
Volume,340074.0
Volume 10-day Avg,276852.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-3.8421052631578947
Growth 2yr High Est,1.9272727272727272
Growth 2yr Consensus Est,-0.9574162679425837
Growth 5yr Low Est,-3.8421052631578947
Growth 5yr High Est,1.9272727272727272
Growth 5yr Consensus Est,-0.9574162679425837
Growth 5yr Actual/Est,0.1797558446455505
Growth 3yr Historic,0.11917892156862744
Price/Earnings (TTM),21.74951
Price/Sales (TTM),0.43577
Price/Book (MRQ),0.39675
Price/Cash Flow (TTM),2.34332
5yr Low,21.38
5yr High,59.74
5yr Avg Return,-0.06719999999999998
EPS Growth 5yr,0.25833829999999997
Revenue Growth 5yr,0.0065307
Dividend Growth 5yr,
Short Int Current Month,833946.0
Short Int Prev Month,597500.0
Short Int Pct of Float,0.0582477
Days to Cover,2.17263
Float,14.53873
Shares Outstanding,85.2215
Institutions Holding Shares,194.0
FCF Growth 5yr,-0.25819513275395634
"Price/Earnings (TTM, GAAP)",21.75
"PEG Ratio (TTM, GAAP)",2.01
Gross Profit Margin (TTM),0.5254
Operating Profit Margin (TTM),0.024100000000000003
Net Profit Margin (TTM),0.0215
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.5849000000000002
EPS Growth (TTM),0.021
Revenue Growth (MRQ),0.0545
Revenue Growth (TTM),0.015300000000000001
Return On Equity (TTM),0.0187
Return On Assets (TTM),0.0085
Return On Investment (TTM),0.0094
Revenue Per Employee (TTM),872708.0
Total Debt/Total Capital (MRQ),0.4037
Change in Debt/Total Capital Quarter over Quarter,0.001
Quick Ratio (MRQ),1.3
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2021-08-24 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2017-03-01 00:00:00
ford since,2021-12-31 00:00:00
marketEdge opinion since,
