,USM
Price/Earnings (TTM),21.74951
Price/Sales (TTM),0.43577
Price/Book (MRQ),0.39675
Price/Cash Flow (TTM),2.34332
5yr Low,21.38
5yr High,59.74
5yr Avg Return,-0.06719999999999998
EPS Growth 5yr,0.25833829999999997
Revenue Growth 5yr,0.0065307
Dividend Growth 5yr,
Short Int Current Month,833946.0
Short Int Prev Month,597500.0
Short Int Pct of Float,0.0582477
Days to Cover,2.17263
Float,14.53873
Shares Outstanding,85.2215
Institutions Holding Shares,194.0
% Held by Institutions,0.260595
FCF Growth 5yr,-0.25819513275395634
