,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,79.51,87.75,96.66,96.97,81.9,92.26,,,,,
low,72.26,62.2,75.82,63.67,62.52,68.86,,,,,
change,-0.059800000000000006,0.0818,0.18920000000000003,-0.1811,0.0077,0.1361,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,9.0,12.0,7.0,10.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,360.0,514.0,262.0,208.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-19.0,-20.0,-19.0,-16.0,Balance Sheet
"Total Receivables, Net",,,,,,,342.0,495.0,243.0,193.0,Balance Sheet
Total Inventory,,,,,,,235.0,133.0,261.0,410.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,1639.0,1634.0,1638.0,345.0,Balance Sheet
Total Current Assets,,,,,,,2225.0,2274.0,2149.0,958.0,Balance Sheet
Machinery/Equipment,,,,,,,713.0,,,,Balance Sheet
Construction in Progress,,,,,,,101.0,,,,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,6491.0,7366.0,7495.0,7648.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,7305.0,7366.0,7495.0,7648.0,Balance Sheet
Accumulated Depreciation,,,,,,,-2083.0,-2102.0,-2138.0,-2172.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,5222.0,5264.0,5357.0,5476.0,Balance Sheet
"Goodwill, Net",,,,,,,158.0,158.0,158.0,158.0,Balance Sheet
Other Long Term Assets,,,,,,,798.0,772.0,748.0,730.0,Balance Sheet
Total Assets,,,,,,,8402.0,8468.0,8411.0,7322.0,Balance Sheet
Accounts Payable,,,,,,,259.0,210.0,186.0,191.0,Balance Sheet
Accrued Expenses,,,,,,,67.0,75.0,58.0,73.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,494.0,505.0,490.0,423.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,,1400.0,1400.0,250.0,Balance Sheet
Customer Advances,,,,,,,62.0,61.0,60.0,62.0,Balance Sheet
Other Current Liabilities,,,,,,,98.0,118.0,133.0,105.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,161.0,179.0,194.0,167.0,Balance Sheet
Total Current Liabilities,,,,,,,980.0,2369.0,2328.0,1105.0,Balance Sheet
Total Long Term Debt,,,,,,,3683.0,2284.0,2284.0,2429.0,Balance Sheet
Total Debt,,,,,,,4177.0,4189.0,4174.0,3102.0,Balance Sheet
Deferred Income Tax,,,,,,,695.0,699.0,691.0,690.0,Balance Sheet
Pension Benefits - Underfunded,,,,,,,35.0,28.0,25.0,22.0,Balance Sheet
Other LT Liabilities,,,,,,,658.0,639.0,630.0,629.0,Balance Sheet
"Other Liabilities, Total",,,,,,,693.0,667.0,655.0,651.0,Balance Sheet
Total Liabilities,,,,,,,6053.0,6018.0,5958.0,4875.0,Balance Sheet
Common Stock,,,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Additional Paid-In Capital,,,,,,,1790.0,1825.0,1831.0,1833.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,565.0,631.0,629.0,619.0,Balance Sheet
"Other Equity, Total",,,,,,,-7.0,-6.0,-6.0,-6.0,Balance Sheet
Total Equity,,,,,,,2350.0,2449.0,2454.0,2446.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,8402.0,8468.0,8411.0,7322.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,54.0,54.0,54.0,54.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,594.0,971.0,429.0,359.0,Income Statement
