,OGS
% Below High,0.0426
% Held by Institutions,0.8504999999999999
52-Wk Range,['64.37 - 92.26']
Annual Dividend $,2.48
Annual Dividend %,0.0281
Ask,90.0
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,0.6
Bid,65.08
Bid Size,1000.0
Closing Price,88.33
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",3.98
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.263
Last (size),26.0
Last (time),5:00p ET 11/25/22
Market Cap,4.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.19
Prev Close,88.33
Short Interest,0.035699999999999996
Today's Open,
Volume,146783.0
Volume 10-day Avg,308109.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.06005221932114879
Growth 1yr High Est,0.05699481865284972
Growth 1yr Consensus Est,0.05852351898699926
Growth 2yr Low Est,0.06327734118766803
Growth 2yr High Est,0.06893858579701306
Growth 2yr Consensus Est,0.06610796349234055
Growth 5yr Low Est,0.056976887052367475
Growth 5yr High Est,0.05806077171102192
Growth 5yr Consensus Est,0.0575188293816947
Growth 5yr Actual/Est,0.05637040786497316
Growth 3yr Historic,0.02365717515174043
Price/Earnings (TTM),22.19174
Price/Sales (TTM),2.03196
Price/Book (MRQ),1.95481
Price/Cash Flow (TTM),10.97908
5yr Low,62.2
5yr High,96.97
5yr Avg Return,0.028983333333333333
EPS Growth 5yr,0.0777384
Revenue Growth 5yr,0.0485024
Dividend Growth 5yr,0.10629759999999999
Short Int Current Month,1896535.0
Short Int Prev Month,1693644.0
Short Int Pct of Float,0.0356965
Days to Cover,4.72432
Float,53.13163
Shares Outstanding,54.14104
Institutions Holding Shares,411.0
FCF Growth 5yr,7.1841539471524705
"Price/Earnings (TTM, GAAP)",22.19
"PEG Ratio (TTM, GAAP)",4.44
Annual Dividend Yield,0.0281
Dividend Change %,0.0741
"Dividend Growth Rate, 3 Years",0.0803
EPS Growth (MRQ),-0.2631
EPS Growth (TTM),0.04360000000000001
Revenue Growth (MRQ),-0.1623
Revenue Growth (TTM),0.38520000000000004
Return On Equity (TTM),0.0904
Return On Assets (TTM),0.0279
Return On Investment (TTM),0.0316
Revenue Per Employee (TTM),653759.0
Total Debt/Total Capital (MRQ),0.5590999999999999
Change in Debt/Total Capital Quarter over Quarter,-0.0014000000000000002
Quick Ratio (MRQ),0.5
Interest Coverage (MRQ),2.41
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-09-23 00:00:00
theStreet since,2021-12-30 00:00:00
ford since,2022-09-23 00:00:00
cfra since,
marketEdge opinion since,
