,BERY
% Above Low,0.28440000000000004
% Held by Institutions,0.9556999999999999
52-Wk Range,['44.52 - 74.73']
Annual Dividend $,
Annual Dividend %,
Ask,57.57
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.2
Bid,
Bid Size,
Closing Price,57.18
Day Change $,0.28
Day Change %,0.0049
Day High,57.61
Day Low,56.92
Dividend Pay Date,12/15/22
"EPS (TTM, GAAP)",5.82
Ex-dividend Date,11/30/22
Historical Volatility,0.355
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,7.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.82
Prev Close,56.9
Short Interest,0.014499999999999999
Today's Open,57.16
Volume,495681.0
Volume 10-day Avg,1109655.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.14819944598337942
Growth 1yr High Est,0.08783783783783794
Growth 1yr Consensus Est,-0.03018080407277074
Growth 2yr Low Est,-0.017189153885998676
Growth 2yr High Est,0.08118599966426054
Growth 2yr Consensus Est,0.031998422889130934
Growth 5yr Low Est,0.07742945296488975
Growth 5yr High Est,0.14388958010779182
Growth 5yr Consensus Est,0.11065951653634078
Growth 5yr Actual/Est,0.14445599336061765
Growth 3yr Historic,0.11793458940632778
Price/Earnings (TTM),9.82081
Price/Sales (TTM),0.48955
Price/Book (MRQ),2.22208
Price/Cash Flow (TTM),4.477
5yr Low,25.0
5yr High,74.73
5yr Avg Return,0.010216666666666666
EPS Growth 5yr,0.17603190000000002
Revenue Growth 5yr,0.1535945
Dividend Growth 5yr,
Short Int Current Month,1793368.0
Short Int Prev Month,1997240.0
Short Int Pct of Float,0.0144805
Days to Cover,1.78971
Float,123.8943
Shares Outstanding,124.1
Institutions Holding Shares,431.0
FCF Growth 5yr,-1.9267521423235638
"Price/Earnings (TTM, GAAP)",9.82
"PEG Ratio (TTM, GAAP)",1.52
Gross Profit Margin (TTM),0.1636
Operating Profit Margin (TTM),0.0857
Net Profit Margin (TTM),0.05280000000000001
Annual Dividend Yield,0.0175
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1807
EPS Growth (TTM),0.0966
Revenue Growth (MRQ),-0.0819
Revenue Growth (TTM),0.0466
Return On Equity (TTM),0.2403
Return On Assets (TTM),0.044000000000000004
Return On Investment (TTM),0.053200000000000004
Revenue Per Employee (TTM),315109.0
Total Debt/Total Capital (MRQ),0.7433
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),1.18
Interest Coverage (MRQ),4.61
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-18 00:00:00
cfra since,2022-11-16 00:00:00
ford since,2022-11-18 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-07-28 00:00:00
