,HURN
Price/Earnings (TTM),17.79696
Price/Sales (TTM),1.36729
Price/Book (MRQ),2.73046
Price/Cash Flow (TTM),12.85541
5yr Low,32.05
5yr High,78.38
5yr Avg Return,0.12895
EPS Growth 5yr,0.09402659999999999
Revenue Growth 5yr,0.030417399999999997
Dividend Growth 5yr,
Short Int Current Month,307118.0
Short Int Prev Month,364184.0
Short Int Pct of Float,0.0157343
Days to Cover,2.45909
Float,19.52091
Shares Outstanding,19.93348
Institutions Holding Shares,217.0
% Held by Institutions,0.959974
FCF Growth 5yr,-13.37365286011383
