,HURN
% Below High,0.0387
% Held by Institutions,0.96
52-Wk Range,['42.66 - 78.38']
Annual Dividend $,
Annual Dividend %,
Ask,77.5
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.6
Bid,30.37
Bid Size,200.0
Closing Price,75.35
Day Change $,0.39
Day Change %,0.0052
Day High,76.84
Day Low,75.28
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.23
Ex-dividend Date,No dividend
Historical Volatility,0.33299999999999996
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,1.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.8
Prev Close,74.96
Short Interest,0.015700000000000002
Today's Open,75.28
Volume,31015.0
Volume 10-day Avg,92115.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.2890625
Growth 1yr High Est,0.27969348659003823
Growth 1yr Consensus Est,0.2843779932950191
Growth 2yr Low Est,0.2263494318181818
Growth 2yr High Est,0.24912818042076768
Growth 2yr Consensus Est,0.23773880611947473
Growth 5yr Low Est,0.2358669414735591
Growth 5yr High Est,0.25102135104974255
Growth 5yr Consensus Est,0.2434441462616508
Growth 5yr Actual/Est,0.1173102933410716
Growth 3yr Historic,-0.0003437446952979373
Price/Earnings (TTM),17.79696
Price/Sales (TTM),1.36729
Price/Book (MRQ),2.73046
Price/Cash Flow (TTM),12.85541
5yr Low,32.05
5yr High,78.38
5yr Avg Return,0.12895
EPS Growth 5yr,0.09402659999999999
Revenue Growth 5yr,0.030417399999999997
Dividend Growth 5yr,
Short Int Current Month,307118.0
Short Int Prev Month,364184.0
Short Int Pct of Float,0.0157343
Days to Cover,2.45909
Float,19.52091
Shares Outstanding,19.93348
Institutions Holding Shares,217.0
FCF Growth 5yr,-13.37365286011383
"Price/Earnings (TTM, GAAP)",17.8
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.294
Operating Profit Margin (TTM),0.07690000000000001
Net Profit Margin (TTM),0.0815
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3005
EPS Growth (TTM),2.5694
Revenue Growth (MRQ),0.0405
Revenue Growth (TTM),0.268
Return On Equity (TTM),0.1643
Return On Assets (TTM),0.07980000000000001
Return On Investment (TTM),0.09460000000000002
Revenue Per Employee (TTM),238341.0
Total Debt/Total Capital (MRQ),0.3801
Change in Debt/Total Capital Quarter over Quarter,0.0014000000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),9.85
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-04-22 00:00:00
researchTeam since,2022-11-04 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
