,PRVB,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,26.92,Valuation,
Price/Sales (TTM),295.93,18.11,Valuation,16.340695748205412
Price/Book (MRQ),5.71,11.51,Valuation,0.4960903562119896
"PEG Ratio (TTM, GAAP)",,0.46,Valuation,
Gross Profit Margin (TTM),,0.6773,Profitability,
Operating Profit Margin (TTM),-40.676,-0.8239000000000001,Profitability,49.37006918315329
Net Profit Margin (TTM),-37.9121,-0.8640000000000001,Profitability,43.879745370370365
Annual Dividend Yield,,0.0217,Dividend,
Dividend Change %,,0.0947,Dividend,
"Dividend Growth Rate, 3 Years",,0.084,Dividend,
EPS Growth (MRQ),0.24910000000000002,0.0883,Gowth rates,2.821064552661382
EPS Growth (TTM),0.21489999999999998,0.5870000000000001,Gowth rates,0.366098807495741
Revenue Growth (MRQ),0.0134,0.0441,Gowth rates,0.30385487528344673
Revenue Growth (TTM),3.1283,0.1761,Gowth rates,17.76433844406587
Return On Equity (TTM),-0.761,0.30160000000000003,Effectiveness,-2.523209549071618
Return On Assets (TTM),-0.6033,0.092,Effectiveness,-6.557608695652173
Return On Investment (TTM),-0.6939000000000001,0.13820000000000002,Effectiveness,-5.020984081041968
Revenue Per Employee (TTM),34134.0,1425813.0,Effectiveness,0.023940025795809127
Total Debt/Total Capital (MRQ),0.1386,0.4169,Financial strength,0.3324538258575198
Change in Debt/Total Capital Quarter over Quarter,,0.0,Financial strength,
Quick Ratio (MRQ),,1.22,Financial strength,
Interest Coverage (MRQ),,26.08,Financial strength,
