,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,8.0,22.82,19.19,20.05,9.85,,,,,
low,1.53,1.52,4.72,5.51,3.19,,,,,
change,-0.7787999999999999,7.4181,0.12560000000000002,-0.677,0.669,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,78190.0,74910.0,57883.0,102382.0,Balance Sheet
Short Term Investments,,,,,,16921.0,10132.0,26639.0,83139.0,Balance Sheet
Cash and Short Term Invs,,,,,,95111.0,85042.0,84522.0,185521.0,Balance Sheet
Prepaid Expenses,,,,,,5985.0,6744.0,5783.0,4913.0,Balance Sheet
Total Current Assets,,,,,,101096.0,91786.0,90305.0,190434.0,Balance Sheet
Buildings,,,,,,916.0,935.0,,1643.0,Balance Sheet
Machinery/Equipment,,,,,,1290.0,1271.0,,989.0,Balance Sheet
Construction in Progress,,,,,,0.0,,,,Balance Sheet
Other Prop./Plant/Equip.,,,,,,598.0,587.0,,557.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,2804.0,2793.0,,3189.0,Balance Sheet
Accumulated Depreciation,,,,,,-420.0,-557.0,,-837.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,2384.0,2236.0,2314.0,2352.0,Balance Sheet
Long Term Investments,,,,,,32021.0,28316.0,11614.0,1007.0,Balance Sheet
Other Long Term Assets,,,,,,120.0,120.0,120.0,120.0,Balance Sheet
Total Assets,,,,,,135621.0,122458.0,104353.0,193913.0,Balance Sheet
Accounts Payable,,,,,,3546.0,7238.0,5658.0,3791.0,Balance Sheet
Accrued Expenses,,,,,,13646.0,12434.0,12217.0,13552.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,5599.0,7374.0,7279.0,7775.0,Balance Sheet
Total Current Liabilities,,,,,,22791.0,27046.0,25154.0,25118.0,Balance Sheet
Total Long Term Debt,,,,,,0.0,0.0,0.0,23298.0,Balance Sheet
Total Debt,,,,,,0.0,0.0,0.0,23298.0,Balance Sheet
"Other Liabilities, Total",,,,,,2096.0,1206.0,518.0,728.0,Balance Sheet
Total Liabilities,,,,,,24887.0,28252.0,25672.0,49144.0,Balance Sheet
Redeemable Preferred Stock,,,,,,,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,6.0,6.0,7.0,9.0,Balance Sheet
Additional Paid-In Capital,,,,,,402941.0,408956.0,423244.0,518008.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-292074.0,-314042.0,-343729.0,-372362.0,Balance Sheet
"Other Equity, Total",,,,,,-139.0,-714.0,-841.0,-886.0,Balance Sheet
