,PRVB
% Below High,0.034
% Held by Institutions,0.479
52-Wk Range,['3.19 - 9.85']
Annual Dividend $,
Annual Dividend %,
Ask,9.53
Ask Size,200.0
B/A Ratio,8.5
B/A Size,1700x200
Beta,2.4
Bid,9.5
Bid Size,1700.0
Day Change $,0.015
Day Change %,0.0016
Day High,9.64
Day Low,9.27
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.56
Ex-dividend Date,No dividend
Historical Volatility,0.886
Last (size),413.0
Last (time),11:41a ET 11/28/22
Market Cap,830.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,9.5
Price,9.52
Short Interest,0.073
Today's Open,9.45
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.2437810945273633
Growth 1yr High Est,-0.2777777777777778
Growth 1yr Consensus Est,-0.016998341625207247
Growth 2yr Low Est,0.0538905472636817
Growth 2yr High Est,-0.14658119658119662
Growth 2yr Consensus Est,-0.04634532465875746
Growth 5yr Low Est,0.22964797633454348
Growth 5yr High Est,0.11360260559289681
Growth 5yr Consensus Est,0.17162529096372015
Growth 5yr Actual/Est,0.18286345661054831
Growth 3yr Historic,0.18408771577679645
Price/Earnings (TTM),
Price/Sales (TTM),295.9312
Price/Book (MRQ),5.71264
Price/Cash Flow (TTM),
5yr Low,1.52
5yr High,22.82
5yr Avg Return,1.3513799999999998
Short Int Current Month,5968641.0
Short Int Prev Month,5260054.0
Short Int Pct of Float,0.0729664
Days to Cover,2.13191
Float,81.79982
Shares Outstanding,87.19067
Institutions Holding Shares,156.0
FCF Growth 5yr,0.5386721933588696
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-40.676
Net Profit Margin (TTM),-37.9121
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.24910000000000002
EPS Growth (TTM),0.21489999999999998
Revenue Growth (MRQ),0.0134
Revenue Growth (TTM),3.1283
Return On Equity (TTM),-0.761
Return On Assets (TTM),-0.6033
Return On Investment (TTM),-0.6939000000000001
Revenue Per Employee (TTM),34134.0
Total Debt/Total Capital (MRQ),0.1386
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
cfra,
newConstructs,rating-box
ford,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
cfra since,
newConstructs since,
ford since,
theStreet since,
researchTeam since,
marketEdge opinion since,
