,SNDX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),10.42,45.03,Valuation,0.23140128803020207
Price/Book (MRQ),3.89,12.61,Valuation,0.3084853291038858
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-0.1104,-4.7459,Profitability,0.0232621842010999
Net Profit Margin (TTM),-0.11019999999999999,-4.5467,Profitability,0.024237358963643957
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.06570000000000001,-0.0014000000000000002,Gowth rates,-46.92857142857143
EPS Growth (TTM),0.8795999999999999,0.027200000000000002,Gowth rates,32.338235294117645
Revenue Growth (MRQ),,1.3963999999999999,Gowth rates,
Revenue Growth (TTM),8.3677,0.9747,Gowth rates,8.584897917307888
Return On Equity (TTM),-0.0519,0.1967,Effectiveness,-0.26385358413828164
Return On Assets (TTM),-0.04650000000000001,0.0016,Effectiveness,-29.062500000000004
Return On Investment (TTM),-0.0507,0.0219,Effectiveness,-2.3150684931506853
Revenue Per Employee (TTM),2145356.0,1476201.0,Effectiveness,1.4532953168301606
Total Debt/Total Capital (MRQ),0.0001,0.4675,Financial strength,0.000213903743315508
Change in Debt/Total Capital Quarter over Quarter,-0.01,0.0036,Financial strength,-2.777777777777778
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
