,SNDX
% Below High,0.1709
% Held by Institutions,0.9936
52-Wk Range,['13.27 - 26.51']
Annual Dividend $,
Annual Dividend %,
Ask,22.01
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,21.94
Bid Size,100.0
Day Change $,0.08
Day Change %,0.0037
Day High,22.29
Day Low,21.89
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.22
Ex-dividend Date,No dividend
Historical Volatility,0.555
Last (size),10.0
Last (time),2:47p ET 11/28/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,21.9
Price,21.98
Short Interest,0.0736
Today's Open,21.89
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.4517766497461928
Growth 1yr High Est,0.41279069767441867
Growth 1yr Consensus Est,0.43228367371030574
Growth 2yr Low Est,0.25910510808987963
Growth 2yr High Est,-0.03228777873480715
Growth 2yr Consensus Est,0.11340866467753624
Growth 5yr Low Est,0.11747525935894948
Growth 5yr High Est,-0.003948767416184051
Growth 5yr Consensus Est,0.056763245971382714
Growth 5yr Actual/Est,-1.902527753288455
Growth 3yr Historic,-0.31009503603813066
Price/Earnings (TTM),
Price/Sales (TTM),10.41978
Price/Book (MRQ),3.89435
Price/Cash Flow (TTM),
5yr Low,3.39
5yr High,27.85
5yr Avg Return,0.33865
EPS Growth 5yr,
Revenue Growth 5yr,1.58091
Dividend Growth 5yr,
Short Int Current Month,4177168.0
Short Int Prev Month,4067212.0
Short Int Pct of Float,0.0736193
Days to Cover,4.39167
Float,57.43042
Shares Outstanding,60.2235
Institutions Holding Shares,199.0
FCF Growth 5yr,0.0
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-0.1104
Net Profit Margin (TTM),-0.11019999999999999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.06570000000000001
EPS Growth (TTM),0.8795999999999999
Revenue Growth (MRQ),
Revenue Growth (TTM),8.3677
Return On Equity (TTM),-0.0519
Return On Assets (TTM),-0.04650000000000001
Return On Investment (TTM),-0.0507
Revenue Per Employee (TTM),2145356.0
Total Debt/Total Capital (MRQ),0.0001
Change in Debt/Total Capital Quarter over Quarter,-0.01
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-05-27 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-05-27 00:00:00
cfra since,
theStreet since,2022-03-10 00:00:00
marketEdge opinion since,
