,PVH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",4.84,21.69,Valuation,0.22314430613185798
Price/Sales (TTM),0.46,3.75,Valuation,0.12266666666666667
Price/Book (MRQ),0.8,9.43,Valuation,0.08483563096500531
"PEG Ratio (TTM, GAAP)",,2.33,Valuation,
Gross Profit Margin (TTM),0.5789,0.49729999999999996,Profitability,1.164086064749648
Operating Profit Margin (TTM),0.1095,0.1348,Profitability,0.8123145400593471
Net Profit Margin (TTM),0.10189999999999999,0.0965,Profitability,1.0559585492227979
Annual Dividend Yield,0.0024,0.013999999999999999,Dividend,0.17142857142857143
Dividend Change %,,0.0796,Dividend,
"Dividend Growth Rate, 3 Years",,0.059800000000000006,Dividend,
EPS Growth (MRQ),-0.1118,0.44920000000000004,Gowth rates,-0.24888691006233302
EPS Growth (TTM),2.2236000000000002,0.0931,Gowth rates,23.883995703544578
Revenue Growth (MRQ),0.0044,0.0901,Gowth rates,0.048834628190899
Revenue Growth (TTM),0.0484,0.1015,Gowth rates,0.47684729064039405
Return On Equity (TTM),0.1795,0.35840000000000005,Effectiveness,0.5008370535714285
Return On Assets (TTM),0.0743,0.14250000000000002,Effectiveness,0.5214035087719298
Return On Investment (TTM),0.0941,0.1893,Effectiveness,0.497094558901215
Revenue Per Employee (TTM),474574.0,519163.0,Effectiveness,0.9141136791335284
Total Debt/Total Capital (MRQ),0.29760000000000003,0.31579999999999997,Financial strength,0.9423685877137431
Change in Debt/Total Capital Quarter over Quarter,-0.0016,-0.0002,Financial strength,8.0
Quick Ratio (MRQ),0.71,1.39,Financial strength,0.5107913669064749
Interest Coverage (MRQ),,76.17,Financial strength,
