,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,18.75,56.65,145.42,91.14,,,,,
low,15.6,10.54,45.0,38.39,,,,,
change,-0.11080000000000001,1.7962,0.9762000000000001,-0.3636,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash,,,,,107114.0,81662.0,68561.0,95141.0,Balance Sheet
Short Term Investments,,,,,69821.0,97655.0,105194.0,76967.0,Balance Sheet
Cash and Short Term Invs,,,,,176935.0,179317.0,173755.0,172108.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,26781.0,24328.0,26484.0,28290.0,Balance Sheet
Prov. for Doubtful Accts,,,,,-1298.0,-1248.0,-1620.0,-1562.0,Balance Sheet
"Total Receivables, Net",,,,,25483.0,23080.0,24864.0,26728.0,Balance Sheet
Prepaid Expenses,,,,,6199.0,9114.0,8534.0,8483.0,Balance Sheet
"Other Curr. Assets, Total",,,,,13915.0,15262.0,16631.0,17929.0,Balance Sheet
Total Current Assets,,,,,222532.0,226773.0,223784.0,225248.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,22313.0,21751.0,22539.0,22093.0,Balance Sheet
"Goodwill, Net",,,,,2299.0,2299.0,2299.0,2299.0,Balance Sheet
Intangibles - Net,,,,,3045.0,2785.0,2524.0,2263.0,Balance Sheet
Long Term Investments,,,,,,1456.0,7931.0,9755.0,Balance Sheet
Other Long Term Assets,,,,,126.0,71.0,59.0,48.0,Balance Sheet
Total Assets,,,,,264717.0,270487.0,275347.0,278522.0,Balance Sheet
Accounts Payable,,,,,2888.0,4772.0,6771.0,7202.0,Balance Sheet
Accrued Expenses,,,,,26321.0,26039.0,27219.0,27473.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,69220.0,76536.0,80056.0,84781.0,Balance Sheet
Total Current Liabilities,,,,,98429.0,107347.0,114046.0,119456.0,Balance Sheet
Total Long Term Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,,21078.0,20386.0,20238.0,19381.0,Balance Sheet
Total Liabilities,,,,,119507.0,127733.0,134284.0,138837.0,Balance Sheet
Common Stock,,,,,5.0,5.0,5.0,5.0,Balance Sheet
Additional Paid-In Capital,,,,,351774.0,360172.0,373519.0,386593.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,-175745.0,-185500.0,-200110.0,-214043.0,Balance Sheet
Treasury Stock - Common,,,,,-30824.0,-31763.0,-32037.0,-32380.0,Balance Sheet
