,SPT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),13.77,9.39,Valuation,1.4664536741214056
Price/Book (MRQ),23.4,12.63,Valuation,1.8527315914489308
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.7568000000000001,0.7206,Profitability,1.0502359145156814
Operating Profit Margin (TTM),-0.20320000000000002,0.2172,Profitability,-0.9355432780847146
Net Profit Margin (TTM),-0.203,0.1553,Profitability,-1.3071474565357375
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.0501,-0.0752,Gowth rates,-0.6662234042553191
EPS Growth (TTM),-0.9217000000000001,-0.2824,Gowth rates,3.2638101983002836
Revenue Growth (MRQ),0.0631,0.15560000000000002,Gowth rates,0.4055269922879177
Revenue Growth (TTM),0.3809,0.1906,Gowth rates,1.9984260230849948
Return On Equity (TTM),-0.3351,0.2189,Effectiveness,-1.5308359981726816
Return On Assets (TTM),-0.1822,0.10740000000000001,Effectiveness,-1.6964618249534449
Return On Investment (TTM),-0.2932,0.1387,Effectiveness,-2.113914924297044
Revenue Per Employee (TTM),267681.0,667721.0,Effectiveness,0.4008874964244048
Total Debt/Total Capital (MRQ),0.0,0.39659999999999995,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0004,Financial strength,
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
