,SPT
% Above Low,0.5147
% Held by Institutions,0.9981
52-Wk Range,['38.39 - 117.07']
Annual Dividend $,
Annual Dividend %,
Ask,58.15
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,
Bid,57.97
Bid Size,300.0
Day Change $,-1.48
Day Change %,-0.0248
Day High,60.39
Day Low,57.81
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.89
Ex-dividend Date,No dividend
Historical Volatility,0.9740000000000001
Last (size),100.0
Last (time),3:05p ET 11/28/22
Market Cap,3.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,59.63
Price,58.15
Short Interest,0.09720000000000001
Today's Open,58.78
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,1.5454545454545459
Growth 2yr High Est,-2.111111111111111
Growth 2yr Consensus Est,-0.28282828282828265
Growth 5yr Low Est,1.5454545454545459
Growth 5yr High Est,-2.111111111111111
Growth 5yr Consensus Est,-0.28282828282828265
Growth 5yr Actual/Est,-0.5902354111405836
Growth 3yr Historic,-0.33254310344827587
Price/Earnings (TTM),
Price/Sales (TTM),13.77234
Price/Book (MRQ),23.40183
Price/Cash Flow (TTM),
5yr Low,10.54
5yr High,145.42
5yr Avg Return,0.5744999999999999
Short Int Current Month,4511038.0
Short Int Prev Month,4799386.0
Short Int Pct of Float,0.0971505
Days to Cover,5.30575
Float,46.40689
Shares Outstanding,54.83831
Institutions Holding Shares,337.0
FCF Growth 5yr,-0.13666055039301947
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7568000000000001
Operating Profit Margin (TTM),-0.20320000000000002
Net Profit Margin (TTM),-0.203
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0501
EPS Growth (TTM),-0.9217000000000001
Revenue Growth (MRQ),0.0631
Revenue Growth (TTM),0.3809
Return On Equity (TTM),-0.3351
Return On Assets (TTM),-0.1822
Return On Investment (TTM),-0.2932
Revenue Per Employee (TTM),267681.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-02-24 00:00:00
theStreet since,2021-02-24 00:00:00
ford since,2022-04-22 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
