,ELF
% Below High,0.0066
% Held by Institutions,0.9565
52-Wk Range,['20.49 - 55.88']
Annual Dividend $,
Annual Dividend %,
Ask,63.5
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.6
Bid,55.35
Bid Size,400.0
Closing Price,55.51
Day Change $,0.59
Day Change %,0.010700000000000001
Day High,55.7
Day Low,54.52
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.63
Ex-dividend Date,No dividend
Historical Volatility,0.445
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,2.9B
"P/E Ratio (TTM, GAAP)",88.71
Prev Close,54.92
Short Interest,0.0433
Today's Open,54.75
Volume,175326.0
Volume 10-day Avg,645400.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.03703703703703698
Growth 2yr High Est,0.12500000000000022
Growth 2yr Consensus Est,0.0810185185185186
Growth 5yr Low Est,0.03703703703703698
Growth 5yr High Est,0.12500000000000022
Growth 5yr Consensus Est,0.0810185185185186
Growth 5yr Actual/Est,0.18265259726527333
Growth 3yr Historic,0.07752067963335568
Price/Earnings (TTM),88.7053
Price/Sales (TTM),6.55639
Price/Book (MRQ),8.22579
Price/Cash Flow (TTM),50.01182
5yr Low,6.71
5yr High,55.88
5yr Avg Return,0.3141333333333334
Short Int Current Month,2168501.0
Short Int Prev Month,2166875.0
Short Int Pct of Float,0.0433375
Days to Cover,2.36298
Float,50.06859
Shares Outstanding,52.93811
Institutions Holding Shares,298.0
FCF Growth 5yr,1.6700101062811639
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",88.71
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6568
Operating Profit Margin (TTM),0.107
Net Profit Margin (TTM),0.0757
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2084
EPS Growth (TTM),0.8218000000000001
Revenue Growth (MRQ),-0.0021
Revenue Growth (TTM),0.2109
Return On Equity (TTM),0.1043
Return On Assets (TTM),0.06559999999999999
Return On Investment (TTM),0.0761
Revenue Per Employee (TTM),1479218.0
Total Debt/Total Capital (MRQ),0.2086
Change in Debt/Total Capital Quarter over Quarter,-0.0024
Quick Ratio (MRQ),2.31
Interest Coverage (MRQ),19.56
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-10-14 00:00:00
ford since,2022-10-14 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2022-08-04 00:00:00
marketEdge opinion since,
