,ELF,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",88.71,62.45,Valuation,1.420496397117694
Price/Sales (TTM),6.56,4.04,Valuation,1.6237623762376237
Price/Book (MRQ),8.23,11.21,Valuation,0.7341659232827832
"PEG Ratio (TTM, GAAP)",,2.11,Valuation,
Gross Profit Margin (TTM),0.6568,0.701,Profitability,0.9369472182596292
Operating Profit Margin (TTM),0.107,0.13949999999999999,Profitability,0.7670250896057348
Net Profit Margin (TTM),0.0757,0.0981,Profitability,0.7716615698267074
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,0.0034999999999999996,Dividend,
"Dividend Growth Rate, 3 Years",,0.0055000000000000005,Dividend,
EPS Growth (MRQ),-0.2084,-0.23070000000000002,Gowth rates,0.9033376679670567
EPS Growth (TTM),0.8218000000000001,-0.2964,Gowth rates,-2.772604588394062
Revenue Growth (MRQ),-0.0021,-0.0493,Gowth rates,0.04259634888438134
Revenue Growth (TTM),0.2109,0.046200000000000005,Gowth rates,4.564935064935065
Return On Equity (TTM),0.1043,0.289,Effectiveness,0.3608996539792388
Return On Assets (TTM),0.06559999999999999,0.0375,Effectiveness,1.7493333333333332
Return On Investment (TTM),0.0761,0.1008,Effectiveness,0.7549603174603174
Revenue Per Employee (TTM),1479218.0,706730.0,Effectiveness,2.0930454346072755
Total Debt/Total Capital (MRQ),0.2086,0.49520000000000003,Financial strength,0.4212439418416801
Change in Debt/Total Capital Quarter over Quarter,-0.0024,0.0046,Financial strength,-0.5217391304347826
Quick Ratio (MRQ),2.31,1.34,Financial strength,1.7238805970149254
Interest Coverage (MRQ),19.56,14.94,Financial strength,1.3092369477911645
