,MTX
% Above Low,0.1602
% Held by Institutions,0.9856
52-Wk Range,['49.38 - 75.65']
Annual Dividend $,0.2
Annual Dividend %,0.0034999999999999996
Ask,92.27
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,23.66
Bid Size,100.0
Closing Price,57.29
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-08 00:00:00
"EPS (TTM, GAAP)",4.33
Ex-dividend,2022-11-01 00:00:00
Ex-dividend Date,11/01/22
Historical Volatility,0.332
Last (size),15.0
Last (time),5:00p ET 11/25/22
Market Cap,1.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.22
Prev Close,57.29
Short Interest,0.0196
Today's Open,
Volume,48685.0
Volume 10-day Avg,105352.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.09090909090909105
Growth 1yr High Est,0.07984031936127756
Growth 1yr Consensus Est,0.0853747051351843
Growth 2yr Low Est,0.06860269360269367
Growth 2yr High Est,0.0944488103275889
Growth 2yr Consensus Est,0.08152575196514128
Growth 5yr Low Est,0.08858364345206457
Growth 5yr High Est,0.10122495887365043
Growth 5yr Consensus Est,0.0949043011628575
Growth 5yr Actual/Est,0.08825854280088014
Growth 3yr Historic,0.05035194368900969
Price/Earnings (TTM),13.21892
Price/Sales (TTM),0.88743
Price/Book (MRQ),1.23773
Price/Cash Flow (TTM),7.76232
5yr Low,27.28
5yr High,88.62
5yr Avg Return,-0.0264
EPS Growth 5yr,0.0511738
Revenue Growth 5yr,0.0255584
Dividend Growth 5yr,0.0
Short Int Current Month,628498.0
Short Int Prev Month,876772.0
Short Int Pct of Float,0.0196132
Days to Cover,5.5798
Float,32.1063
Shares Outstanding,32.45026
Institutions Holding Shares,302.0
FCF Growth 5yr,-0.9453617052881759
"Price/Earnings (TTM, GAAP)",13.22
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2259
Operating Profit Margin (TTM),0.1027
Net Profit Margin (TTM),0.06910000000000001
Annual Dividend Yield,0.0034999999999999996
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.6988
EPS Growth (TTM),-0.0446
Revenue Growth (MRQ),-0.0271
Revenue Growth (TTM),0.15539999999999998
Return On Equity (TTM),0.09550000000000002
Return On Assets (TTM),0.042699999999999995
Return On Investment (TTM),0.0501
Revenue Per Employee (TTM),528882.0
Total Debt/Total Capital (MRQ),0.4093
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),1.48
Interest Coverage (MRQ),6.11
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-10-11 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
marketEdge opinion since,
