,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,23.49,25.0,41.42,64.49,34.83,,,,,
low,15.68,9.35,5.14,31.31,11.29,,,,,
change,-0.2126,-0.4022,2.345,-0.0271,-0.6653,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,187.0,121.0,135.0,156.0,Balance Sheet
Short Term Investments,,,,,,498.0,552.0,532.0,519.0,Balance Sheet
Cash and Short Term Invs,,,,,,685.0,673.0,668.0,676.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,70.0,66.0,78.0,83.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,-3.0,-4.0,-8.0,-16.0,Balance Sheet
"Total Receivables, Net",,,,,,67.0,62.0,70.0,67.0,Balance Sheet
Prepaid Expenses,,,,,,17.0,18.0,18.0,17.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,161.0,196.0,188.0,170.0,Balance Sheet
Total Current Assets,,,,,,930.0,950.0,944.0,930.0,Balance Sheet
Buildings,,,,,,12.0,12.0,12.0,12.0,Balance Sheet
Machinery/Equipment,,,,,,31.0,33.0,35.0,37.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,14.0,13.0,13.0,12.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,57.0,58.0,59.0,61.0,Balance Sheet
Accumulated Depreciation,,,,,,-25.0,-27.0,-29.0,-31.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,32.0,31.0,30.0,30.0,Balance Sheet
"Goodwill, Net",,,,,,118.0,118.0,118.0,118.0,Balance Sheet
Intangibles - Net,,,,,,0.0,,,,Balance Sheet
Other Long Term Assets,,,,,,1.0,2.0,2.0,1.0,Balance Sheet
Total Assets,,,,,,1081.0,1100.0,1094.0,1079.0,Balance Sheet
Accounts Payable,,,,,,5.0,10.0,5.0,5.0,Balance Sheet
Accrued Expenses,,,,,,46.0,33.0,46.0,52.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,,,22.0,24.0,24.0,25.0,Balance Sheet
Other Payables,,,,,,161.0,196.0,188.0,170.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,183.0,220.0,212.0,195.0,Balance Sheet
Total Current Liabilities,,,,,,234.0,263.0,263.0,252.0,Balance Sheet
Total Long Term Debt,,,,,,561.0,562.0,563.0,564.0,Balance Sheet
Total Debt,,,,,,561.0,562.0,563.0,564.0,Balance Sheet
"Other Liabilities, Total",,,,,,27.0,26.0,22.0,21.0,Balance Sheet
Total Liabilities,,,,,,822.0,851.0,848.0,837.0,Balance Sheet
Common Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,511.0,529.0,551.0,572.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-251.0,-276.0,-300.0,-324.0,Balance Sheet
"Other Equity, Total",,,,,,,-3.0,-5.0,-5.0,Balance Sheet
Total Equity,,,,,,260.0,249.0,246.0,243.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,1081.0,1100.0,1094.0,1079.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,129.0,130.0,131.0,131.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,136856.0,141337.0,156898.0,158641.0,Income Statement
"Cost of Revenue, Total",,,,,,37051.0,37916.0,40857.0,40470.0,Income Statement
Selling/Gen/Admin Expense,,,,,,76985.0,78031.0,91191.0,92024.0,Income Statement
Labor & Related Expense,,,,,,9803.0,10881.0,12068.0,12691.0,Income Statement
