,UPWK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,75.74,Valuation,
Price/Sales (TTM),2.61,5.07,Valuation,0.514792899408284
Price/Book (MRQ),6.38,7.18,Valuation,0.8885793871866295
"PEG Ratio (TTM, GAAP)",,3.68,Valuation,
Gross Profit Margin (TTM),0.7368000000000001,0.49210000000000004,Profitability,1.4972566551513922
Operating Profit Margin (TTM),-0.1582,0.10619999999999999,Profitability,-1.489642184557439
Net Profit Margin (TTM),-0.1616,0.055,Profitability,-2.938181818181818
Annual Dividend Yield,,0.0074,Dividend,
Dividend Change %,,0.051100000000000007,Dividend,
"Dividend Growth Rate, 3 Years",,0.0489,Dividend,
EPS Growth (MRQ),-0.0362,-18.5673,Gowth rates,0.0019496641945786412
EPS Growth (TTM),-1.8622999999999998,-0.2057,Gowth rates,9.053475935828876
Revenue Growth (MRQ),0.0111,0.10880000000000001,Gowth rates,0.10202205882352941
Revenue Growth (TTM),0.2577,0.11970000000000001,Gowth rates,2.152882205513784
Return On Equity (TTM),-0.37820000000000004,0.1999,Effectiveness,-1.8919459729864936
Return On Assets (TTM),-0.0883,0.0565,Effectiveness,-1.5628318584070797
Return On Investment (TTM),-0.1142,0.0848,Effectiveness,-1.346698113207547
Revenue Per Employee (TTM),913434.0,417216.0,Effectiveness,2.1893551541647494
Total Debt/Total Capital (MRQ),0.6990999999999999,0.4147,Financial strength,1.6857969616590305
Change in Debt/Total Capital Quarter over Quarter,0.0002,0.0070999999999999995,Financial strength,0.028169014084507046
Quick Ratio (MRQ),,0.09,Financial strength,
Interest Coverage (MRQ),-22.78,18.36,Financial strength,-1.240740740740741
