,UPWK
% Above Low,0.0177
% Held by Institutions,0.7476999999999999
52-Wk Range,['11.29 - 38.87']
Annual Dividend $,
Annual Dividend %,
Ask,11.54
Ask Size,400.0
B/A Ratio,2.5
B/A Size,1000x400
Beta,1.4
Bid,11.3
Bid Size,1000.0
Closing Price,11.49
Day Change $,-0.3
Day Change %,-0.0254
Day High,11.98
Day Low,11.36
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.74
Ex-dividend Date,No dividend
Historical Volatility,0.757
Last (size),25.0
Last (time),4:00p ET 11/28/22
Market Cap,1.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,11.79
Short Interest,0.044000000000000004
Today's Open,11.75
Volume,1285346.0
Volume 10-day Avg,1798240.0
Volume Past Day,(Light)
Price/Earnings (TTM),
Price/Sales (TTM),2.60813
Price/Book (MRQ),6.3835
Price/Cash Flow (TTM),
5yr Low,5.14
5yr High,64.49
5yr Avg Return,0.20755999999999994
EPS Growth 5yr,
Revenue Growth 5yr,0.2504732
Dividend Growth 5yr,
Short Int Current Month,5292883.0
Short Int Prev Month,5637542.0
Short Int Pct of Float,0.0439863
Days to Cover,2.12785
Float,120.4317
Shares Outstanding,131.3425
Institutions Holding Shares,298.0
FCF Growth 5yr,-1.2055555555555555
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7368000000000001
Operating Profit Margin (TTM),-0.1582
Net Profit Margin (TTM),-0.1616
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0362
EPS Growth (TTM),-1.8622999999999998
Revenue Growth (MRQ),0.0111
Revenue Growth (TTM),0.2577
Return On Equity (TTM),-0.37820000000000004
Return On Assets (TTM),-0.0883
Return On Investment (TTM),-0.1142
Revenue Per Employee (TTM),913434.0
Total Debt/Total Capital (MRQ),0.6990999999999999
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),-22.78
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-01-27 00:00:00
theStreet since,2022-01-27 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-05-06 00:00:00
cfra since,
marketEdge opinion since,
