,ACEL
% Above Low,0.1229
% Held by Institutions,0.6748999999999999
52-Wk Range,['7.65 - 14.04']
Annual Dividend $,
Annual Dividend %,
Ask,10.98
Ask Size,5000.0
B/A Ratio,0.04
B/A Size,200x5000
Beta,1.2
Bid,3.45
Bid Size,200.0
Closing Price,8.59
Day Change $,-0.06
Day Change %,-0.0069
Day High,8.69
Day Low,8.56
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.73
Ex-dividend Date,No dividend
Historical Volatility,0.43100000000000005
Last (size),27.0
Last (time),5:00p ET 11/25/22
Market Cap,753.1M
"P/E Ratio (TTM, GAAP)",11.75
Prev Close,8.65
Short Interest,0.038599999999999995
Today's Open,8.61
Volume,53487.0
Volume 10-day Avg,205428.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-08 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.13888888888888884
Growth 1yr High Est,0.1499999999999999
Growth 1yr Consensus Est,0.14444444444444438
Growth 2yr Low Est,0.00846883468834686
Growth 2yr High Est,0.13478260869565217
Growth 2yr Consensus Est,0.07162572169199952
Growth 5yr Low Est,0.00846883468834686
Growth 5yr High Est,0.13478260869565217
Growth 5yr Consensus Est,0.07162572169199952
Growth 5yr Actual/Est,3.3029228243021347
Growth 3yr Historic,3.2380952380952377
Price/Earnings (TTM),11.75456
Price/Sales (TTM),0.8499
Price/Book (MRQ),4.20613
Price/Cash Flow (TTM),6.84769
5yr Low,5.22
5yr High,15.11
5yr Avg Return,0.0058000000000000065
Short Int Current Month,2068552.0
Short Int Prev Month,2182111.0
Short Int Pct of Float,0.0385989
Days to Cover,9.54068
Float,53.59952
Shares Outstanding,87.46708
Institutions Holding Shares,158.0
FCF Growth 5yr,0.3035915653658216
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",11.75
"PEG Ratio (TTM, GAAP)",2.71
Gross Profit Margin (TTM),0.3154
Operating Profit Margin (TTM),0.0992
Net Profit Margin (TTM),0.0764
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.026400000000000003
EPS Growth (TTM),3.2977
Revenue Growth (MRQ),0.1716
Revenue Growth (TTM),0.4333
Return On Equity (TTM),0.39130000000000004
Return On Assets (TTM),0.09380000000000001
Return On Investment (TTM),0.1054
Revenue Per Employee (TTM),982267.0
Total Debt/Total Capital (MRQ),0.7425
Change in Debt/Total Capital Quarter over Quarter,0.0014000000000000002
Quick Ratio (MRQ),2.99
Interest Coverage (MRQ),3.72
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-04-09 00:00:00
ford since,2022-10-14 00:00:00
cfra since,
theStreet since,2022-05-10 00:00:00
newConstructs since,
marketEdge opinion since,
