,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report,Q3 2021
high,9.75,10.4,12.7,15.11,14.1,14.04,,,,,,
low,9.67,9.67,9.98,5.22,9.13,7.65,,,,,,
change,0.0031,0.0267,0.2525,-0.1888,0.2891,-0.3478,,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet,
Cash & Equivalents,,,,,,,199.0,195.0,220.0,212.0,Balance Sheet,
Short Term Investments,,,,,,,32.0,32.0,32.0,32.0,Balance Sheet,
Cash and Short Term Invs,,,,,,,231.0,227.0,252.0,244.0,Balance Sheet,
"Trade Accts Recvble, Net",,,,,,,,,9.0,9.0,Balance Sheet,
Other Receivables,,,,,,,0.0,,2.0,2.0,Balance Sheet,
"Total Receivables, Net",,,,,,,0.0,,11.0,10.0,Balance Sheet,
Total Inventory,,,,,,,,,6.0,7.0,Balance Sheet,
Prepaid Expenses,,,,,,,7.0,6.0,8.0,8.0,Balance Sheet,
"Other Curr. Assets, Total",,,,,,,10.0,21.0,10.0,15.0,Balance Sheet,
Total Current Assets,,,,,,,248.0,255.0,288.0,284.0,Balance Sheet,
Buildings,,,,,,,15.0,16.0,18.0,,Balance Sheet,
Land/Improvements,,,,,,,1.0,1.0,1.0,,Balance Sheet,
Machinery/Equipment,,,,,,,270.0,282.0,318.0,,Balance Sheet,
Construction in Progress,,,,,,,4.0,2.0,2.0,,Balance Sheet,
Other Prop./Plant/Equip.,,,,,,,2.0,2.0,2.0,,Balance Sheet,
Prop./Plant/Equip. - Gross,,,,,,,292.0,302.0,341.0,,Balance Sheet,
Accumulated Depreciation,,,,,,,-139.0,-145.0,-151.0,,Balance Sheet,
Prop./Plant/Equip. - Net,,,,,,,152.0,157.0,190.0,207.0,Balance Sheet,
"Goodwill, Net",,,,,,,46.0,46.0,99.0,99.0,Balance Sheet,
Intangibles - Gross,,,,,,,258.0,259.0,301.0,,Balance Sheet,
Accum. Intangible Amort.,,,,,,,-92.0,-95.0,-98.0,,Balance Sheet,
Intangibles - Net,,,,,,,167.0,163.0,227.0,231.0,Balance Sheet,
Other Long Term Assets,,,,,,,3.0,3.0,13.0,18.0,Balance Sheet,
Total Assets,,,,,,,616.0,625.0,817.0,838.0,Balance Sheet,
Payable/Accrued,,,,,,,15.0,19.0,22.0,22.0,Balance Sheet,
Accrued Expenses,,,,,,,24.0,20.0,26.0,32.0,Balance Sheet,
