,BANR
% Below High,0.0541
% Held by Institutions,0.8674
52-Wk Range,['52.35 - 75.72']
Annual Dividend $,1.76
Annual Dividend %,0.0246
Ask,75.0
Ask Size,2200.0
B/A Ratio,0.045454545454545456
B/A Size,100x2200
Beta,1.0
Bid,71.54
Bid Size,100.0
Closing Price,71.62
Day Change $,1.23
Day Change %,0.0175
Day High,71.63
Day Low,70.69
Dividend Pay Date,2022-11-10 00:00:00
"EPS (TTM, GAAP)",5.53
Ex-dividend,2022-10-28 00:00:00
Ex-dividend Date,10/28/22
Historical Volatility,0.28600000000000003
Last (size),16.0
Last (time),12:59p ET 11/25/22
Market Cap,2.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.95
Prev Close,70.39
Short Interest,0.0217
Today's Open,70.69
Volume,70213.0
Volume 10-day Avg,138868.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-18 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.027624309392265234
Growth 1yr High Est,0.037837837837837895
Growth 1yr Consensus Est,0.032731073615051565
Growth 2yr Low Est,0.06488742351333698
Growth 2yr High Est,0.1031203078078079
Growth 2yr Consensus Est,0.08400386566057244
Growth 5yr Low Est,0.10185547646255083
Growth 5yr High Est,0.12498672733047739
Growth 5yr Consensus Est,0.11342110189651411
Growth 5yr Actual/Est,0.1662322091241263
Growth 3yr Historic,0.13669386796606686
Price/Earnings (TTM),12.95118
Price/Sales (TTM),4.06563
Price/Book (MRQ),1.7384
Price/Cash Flow (TTM),11.47312
5yr Low,27.12
5yr High,75.72
5yr Avg Return,0.04863333333333334
EPS Growth 5yr,0.17948260000000002
Revenue Growth 5yr,0.0586268
Dividend Growth 5yr,0.145917
Short Int Current Month,726874.0
Short Int Prev Month,773074.0
Short Int Pct of Float,0.0217186
Days to Cover,4.17583
Float,33.68215
Shares Outstanding,34.19043
Institutions Holding Shares,309.0
FCF Growth 5yr,0.25232538474547606
"Price/Earnings (TTM, GAAP)",12.95
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3882
Net Profit Margin (TTM),0.317
Annual Dividend Yield,0.0246
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0723
EPS Growth (MRQ),0.024100000000000003
EPS Growth (TTM),0.020499999999999997
Revenue Growth (MRQ),0.1362
Revenue Growth (TTM),0.02
Return On Equity (TTM),0.1241
Return On Assets (TTM),0.0116
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0012
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-21 00:00:00
ford since,2022-10-21 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-11-04 00:00:00
