,LLY
% Below High,0.0123
% Held by Institutions,0.8312
52-Wk Range,['231.87 - 369.80']
Annual Dividend $,3.92
Annual Dividend %,0.010700000000000001
Ask,375.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.4
Bid,363.0
Bid Size,100.0
Change Since Close,0.18| |(0.05%)
Closing Price,365.25
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",6.65
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.29
Last (size),3.0
Last (time),5:00p ET 11/25/22
Last Trade,365.43
Market Cap,347.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",54.89
Prev Close,365.25
Short Interest,0.0059
Today's Open,
Volume,89.0
Volume 10-day Avg,3176973.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,0.005235602094240788
Growth 1yr High Est,-0.025578562728380105
Growth 1yr Consensus Est,-0.010171480317069659
Growth 2yr Low Est,0.05274800938045365
Growth 2yr High Est,0.13408571863580993
Growth 2yr Consensus Est,0.09341686400813179
Growth 5yr Low Est,0.10854791773370509
Growth 5yr High Est,0.1649242152501084
Growth 5yr Consensus Est,0.13673606649190673
Growth 5yr Actual/Est,0.11900129288330419
Growth 3yr Historic,0.08547942259672803
Price/Earnings (TTM),54.89196
Price/Sales (TTM),11.8693
Price/Book (MRQ),34.46362
Price/Cash Flow (TTM),45.50672
5yr Low,73.69
5yr High,369.8
5yr Avg Return,0.29295000000000004
EPS Growth 5yr,0.1888346
Revenue Growth 5yr,0.0593905
Dividend Growth 5yr,0.10756629999999999
Short Int Current Month,5611848.0
Short Int Prev Month,6095880.0
Short Int Pct of Float,0.005918
Days to Cover,1.43235
Float,948.7462
Shares Outstanding,950.1779
Institutions Holding Shares,3088.0
FCF Growth 5yr,0.10263975284683473
"Price/Earnings (TTM, GAAP)",54.89
"PEG Ratio (TTM, GAAP)",2.78
Gross Profit Margin (TTM),0.7561
Operating Profit Margin (TTM),0.2465
Net Profit Margin (TTM),0.20629999999999998
Annual Dividend Yield,0.010700000000000001
Dividend Change %,0.1486
"Dividend Growth Rate, 3 Years",0.1475
EPS Growth (MRQ),0.5226
EPS Growth (TTM),0.016399999999999998
Revenue Growth (MRQ),0.0699
Revenue Growth (TTM),0.0534
Return On Equity (TTM),0.6769
Return On Assets (TTM),0.1262
Return On Investment (TTM),0.18280000000000002
Revenue Per Employee (TTM),835414.0
Total Debt/Total Capital (MRQ),0.6098
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),0.88
Interest Coverage (MRQ),10.53
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
theStreet since,2019-11-11 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-08-04 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
