,YEXT
% Above Low,0.355
% Held by Institutions,0.6658
52-Wk Range,['4.00 - 10.97']
Annual Dividend $,
Annual Dividend %,
Ask,6.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,4.0
Bid Size,100.0
Closing Price,5.42
Day Change $,0.01
Day Change %,0.0018
Day High,5.59
Day Low,5.34
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.73
Ex-dividend Date,No dividend
Historical Volatility,0.5860000000000001
Last (size),2.0
Last (time),7:00p ET 11/28/22
Market Cap,669.0M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,5.41
Short Interest,0.0317
Today's Open,5.4
Volume,1086776.0
Volume 10-day Avg,836685.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2022-11-30 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.7692307692307693
Growth 1yr High Est,-0.8571428571428571
Growth 1yr Consensus Est,-0.8131868131868132
Growth 2yr Low Est,-0.9679487179487181
Growth 2yr High Est,-1.5714285714285714
Growth 2yr Consensus Est,-1.2696886446886446
Growth 5yr Low Est,-0.48397435897435903
Growth 5yr High Est,-0.7857142857142857
Growth 5yr Consensus Est,-0.6348443223443223
Growth 5yr Actual/Est,-0.6647843567251461
Growth 3yr Historic,-0.20367324561403508
Price/Earnings (TTM),
Price/Sales (TTM),1.66892
Price/Book (MRQ),4.82157
Price/Cash Flow (TTM),
5yr Low,4.0
5yr High,27.19
5yr Avg Return,-0.10758333333333332
EPS Growth 5yr,
Revenue Growth 5yr,0.2574026
Dividend Growth 5yr,
Short Int Current Month,3124255.0
Short Int Prev Month,4220908.0
Short Int Pct of Float,0.0317046
Days to Cover,2.85125
Float,110.1334
Shares Outstanding,123.4359
Institutions Holding Shares,203.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.746
Operating Profit Margin (TTM),-0.22829999999999998
Net Profit Margin (TTM),-0.2346
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1833
EPS Growth (TTM),-0.05740000000000001
Revenue Growth (MRQ),0.0209
Revenue Growth (TTM),0.07740000000000001
Return On Equity (TTM),-0.528
Return On Assets (TTM),-0.179
Return On Investment (TTM),-0.3188
Revenue Per Employee (TTM),285809.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2018-06-01 00:00:00
theStreet since,2018-06-01 00:00:00
ford since,2022-03-11 00:00:00
cfra since,
marketEdge opinion since,
