,YEXT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),1.67,9.39,Valuation,0.17784877529286472
Price/Book (MRQ),4.82,12.63,Valuation,0.38163103721298497
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.746,0.7206,Profitability,1.035248404107688
Operating Profit Margin (TTM),-0.22829999999999998,0.2172,Profitability,-1.0511049723756904
Net Profit Margin (TTM),-0.2346,0.1553,Profitability,-1.5106245975531232
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.1833,-0.0752,Gowth rates,-2.4375
EPS Growth (TTM),-0.05740000000000001,-0.2824,Gowth rates,0.203257790368272
Revenue Growth (MRQ),0.0209,0.15560000000000002,Gowth rates,0.134318766066838
Revenue Growth (TTM),0.07740000000000001,0.1906,Gowth rates,0.4060860440713537
Return On Equity (TTM),-0.528,0.2189,Effectiveness,-2.4120603015075375
Return On Assets (TTM),-0.179,0.10740000000000001,Effectiveness,-1.6666666666666665
Return On Investment (TTM),-0.3188,0.1387,Effectiveness,-2.2984859408795963
Revenue Per Employee (TTM),285809.0,667721.0,Effectiveness,0.4280365601800752
Total Debt/Total Capital (MRQ),0.0,0.39659999999999995,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0004,Financial strength,
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
