,AMGN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",22.73,471.78,Valuation,0.04817923608461572
Price/Sales (TTM),5.75,45.03,Valuation,0.1276926493448812
Price/Book (MRQ),41.44,12.61,Valuation,3.2862807295796985
"PEG Ratio (TTM, GAAP)",3.44,173.15,Valuation,0.019867167196072767
Gross Profit Margin (TTM),0.7578,0.5874,Profitability,1.2900919305413687
Operating Profit Margin (TTM),0.3691,-4.7459,Profitability,-0.07777239301291641
Net Profit Margin (TTM),0.2596,-4.5467,Profitability,-0.05709635559856599
Annual Dividend Yield,0.0273,0.0144,Dividend,1.8958333333333335
Dividend Change %,0.1,0.0382,Dividend,2.617801047120419
"Dividend Growth Rate, 3 Years",0.10060000000000001,0.047599999999999996,Dividend,2.113445378151261
EPS Growth (MRQ),0.6242,-0.0014000000000000002,Gowth rates,-445.8571428571428
EPS Growth (TTM),0.28550000000000003,0.027200000000000002,Gowth rates,10.496323529411764
Revenue Growth (MRQ),0.0088,1.3963999999999999,Gowth rates,0.006301919220853625
Revenue Growth (TTM),0.021800000000000003,0.9747,Gowth rates,0.022365856160870015
EPS Growth (MRQ),0.6242,-0.0014000000000000002,Effectiveness,-445.8571428571428
EPS Growth (TTM),0.28550000000000003,0.027200000000000002,Effectiveness,10.496323529411764
Revenue Growth (MRQ),0.0088,1.3963999999999999,Effectiveness,0.006301919220853625
Revenue Growth (TTM),0.021800000000000003,0.9747,Effectiveness,0.022365856160870015
Total Debt/Total Capital (MRQ),0.9138,0.4675,Financial strength,1.954652406417112
Change in Debt/Total Capital Quarter over Quarter,0.0005,0.0036,Financial strength,0.1388888888888889
Quick Ratio (MRQ),1.35,2.06,Financial strength,0.6553398058252428
Interest Coverage (MRQ),7.24,2.69,Financial strength,2.6914498141263943
