,AMGN
% Below High,0.0436
% Held by Institutions,0.7392
52-Wk Range,['198.64 - 296.67']
Annual Dividend $,7.76
Annual Dividend %,0.0273
Ask,284.62
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,282.13
Bid Size,100.0
Closing Price,283.74
Day Change $,0.34
Day Change %,0.0012
Day High,285.57
Day Low,281.41
Dividend Pay Date,2022-12-08 00:00:00
"EPS (TTM, GAAP)",12.48
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.219
Last (size),8.0
Last (time),1:00p ET 11/25/22
Market Cap,151.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.73
Prev Close,283.4
Short Interest,0.0196
Today's Open,281.95
Volume,1220728.0
Volume 10-day Avg,2766330.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,0.05542021924482321
Growth 1yr High Est,0.018792710706150517
Growth 1yr Consensus Est,0.037106464975486864
Growth 2yr Low Est,0.02020866703729912
Growth 2yr High Est,0.08094470638717244
Growth 2yr Consensus Est,0.05057668671223578
Growth 5yr Low Est,0.04431096679604277
Growth 5yr High Est,0.08131845027858198
Growth 5yr Consensus Est,0.06281470853731237
Growth 5yr Actual/Est,0.0584824081489862
Growth 3yr Historic,0.03755711103523407
Price/Earnings (TTM),22.73272
Price/Sales (TTM),5.75001
Price/Book (MRQ),41.43862
Price/Cash Flow (TTM),14.85311
5yr Low,163.31
5yr High,296.67
5yr Avg Return,0.09494999999999999
EPS Growth 5yr,0.0008401
Revenue Growth 5yr,0.0247382
Dividend Growth 5yr,0.1197022
Short Int Current Month,10427893.0
Short Int Prev Month,11772512.0
Short Int Pct of Float,0.0195885
Days to Cover,3.12347
Float,532.4744
Shares Outstanding,533.5792
Institutions Holding Shares,2941.0
FCF Growth 5yr,0.2863297484291935
"Price/Earnings (TTM, GAAP)",22.73
"PEG Ratio (TTM, GAAP)",3.44
Gross Profit Margin (TTM),0.7578
Operating Profit Margin (TTM),0.3691
Net Profit Margin (TTM),0.2596
Annual Dividend Yield,0.0273
Dividend Change %,0.1
"Dividend Growth Rate, 3 Years",0.10060000000000001
EPS Growth (MRQ),0.6242
EPS Growth (TTM),0.28550000000000003
Revenue Growth (MRQ),0.0088
Revenue Growth (TTM),0.021800000000000003
Total Debt/Total Capital (MRQ),0.9138
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),1.35
Interest Coverage (MRQ),7.24
newConstructs,rating-box
researchTeam,rating-box
cfra,
ford,rating-box
marketEdge opinion,
marketEdge,rating-box
newConstructs since,2022-11-26 00:00:00
researchTeam since,2022-11-04 00:00:00
cfra since,2022-11-04 00:00:00
ford since,2022-09-09 00:00:00
marketEdge opinion since,
marketEdge since,2022-08-16 00:00:00
