,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,35.55,33.8,55.0,39.12,17.49,,,,,
low,21.67,24.6,17.43,12.9,6.43,,,,,
change,0.2241,-0.024,-0.027000000000000003,-0.429,-0.2796,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,173.0,85.0,96.0,74.0,Balance Sheet
Short Term Investments,,,,,,284.0,365.0,394.0,478.0,Balance Sheet
Cash and Short Term Invs,,,,,,457.0,449.0,490.0,552.0,Balance Sheet
Prepaid Expenses,,,,,,14.0,21.0,23.0,17.0,Balance Sheet
Total Current Assets,,,,,,471.0,470.0,513.0,569.0,Balance Sheet
Buildings,,,,,,108.0,108.0,108.0,108.0,Balance Sheet
Machinery/Equipment,,,,,,34.0,35.0,36.0,36.0,Balance Sheet
Construction in Progress,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,62.0,61.0,91.0,89.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,204.0,204.0,235.0,234.0,Balance Sheet
Accumulated Depreciation,,,,,,-23.0,-27.0,-31.0,-35.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,181.0,177.0,204.0,200.0,Balance Sheet
LT Invt. - Affiliate Comp.,,,,,,18.0,14.0,16.0,14.0,Balance Sheet
LT Investments - Other,,,,,,352.0,284.0,196.0,85.0,Balance Sheet
Long Term Investments,,,,,,370.0,298.0,211.0,99.0,Balance Sheet
Other Long Term Assets,,,,,,6.0,9.0,9.0,9.0,Balance Sheet
Total Assets,,,,,,1039.0,965.0,948.0,888.0,Balance Sheet
Accounts Payable,,,,,,10.0,9.0,10.0,11.0,Balance Sheet
Accrued Expenses,,,,,,37.0,28.0,34.0,37.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,0.0,0.0,1.0,1.0,Balance Sheet
Total Current Liabilities,,,,,,48.0,37.0,45.0,49.0,Balance Sheet
Total Long Term Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,,,74.0,73.0,101.0,99.0,Balance Sheet
Total Liabilities,,,,,,122.0,109.0,146.0,148.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,0.0,0.0,0.0,,Balance Sheet
Common Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,1822.0,1848.0,1871.0,1894.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-903.0,-983.0,-1058.0,-1141.0,Balance Sheet
"Other Equity, Total",,,,,,-3.0,-9.0,-11.0,-13.0,Balance Sheet
Total Equity,,,,,,916.0,855.0,802.0,740.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,1039.0,965.0,948.0,888.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,143.0,144.0,144.0,144.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,51.0,61.0,86.0,49.0,Income Statement
Selling/Gen/Admin Expense,,,,,,9042.0,8662.0,9590.0,8765.0,Income Statement
Labor & Related Expense,,,,,,10919.0,11235.0,9919.0,10132.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,19961.0,19897.0,19509.0,18897.0,Income Statement
Research & Development,,,,,,53983.0,60156.0,57171.0,63641.0,Income Statement
Total Operating Expense,,,,,,73944.0,80053.0,76680.0,82538.0,Income Statement
Total Operating Income,,,,,,-73893.0,-79992.0,-76594.0,-82489.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,,,186.0,492.0,315.0,1002.0,Income Statement
"Other, Net",,,,,,-1161.0,-350.0,1492.0,-1661.0,Income Statement
Income Before Tax,,,,,,-74868.0,-79850.0,-74787.0,-83148.0,Income Statement
Income After Tax,,,,,,-74868.0,-79850.0,-74787.0,-83148.0,Income Statement
Net Inc Before Extra Items,,,,,,-74868.0,-79850.0,-74787.0,-83148.0,Income Statement
Total Net Income,,,,,,-74868.0,-79850.0,-74787.0,-83148.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,-74868.0,-79850.0,-74787.0,-83148.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,-74868.0,-79850.0,-74787.0,-83148.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,139211.0,141356.0,143385.0,143662.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,-0.54,-0.56,-0.52,-0.58,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,-0.54,-0.56,-0.52,-0.58,Income Statement
Diluted Weighted Average Shares,,,,,,139211.0,141356.0,143385.0,143662.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,-0.54,-0.56,-0.52,-0.58,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,-0.54,-0.56,-0.52,-0.58,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,,,4288.0,3692.0,3675.0,3860.0,Income Statement
Normalzd Income Before Tax,,,,,,-74868.0,-79850.0,-74787.0,-83148.0,Income Statement
Normalized Income After Tax,,,,,,-74868.0,-79850.0,-74787.0,-83148.0,Income Statement
Normalzd Inc Avail to Common,,,,,,-74868.0,-79850.0,-74787.0,-83148.0,Income Statement
Basic Normalized EPS,,,,,,-0.54,-0.56,-0.52,-0.58,Income Statement
Diluted Normalized EPS,,,,,,-0.54,-0.56,-0.52,-0.58,Income Statement
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,-257005.0,-79850.0,-154637.0,-237785.0,Cash Flow
Depreciation/Depletion,,,,,,10454.0,3692.0,7367.0,11227.0,Cash Flow
Amortization,,,,,,0.0,,,,Cash Flow
Unusual Items,,,,,,6955.0,1332.0,2240.0,2735.0,Cash Flow
Equity in Net Earnings/Loss,,,,,,3444.0,3800.0,2309.0,3959.0,Cash Flow
Other Non-Cash Items,,,,,,83429.0,22781.0,46846.0,68547.0,Cash Flow
Non-Cash Items,,,,,,93828.0,27913.0,51395.0,75241.0,Cash Flow
Prepaid Expenses,,,,,,3199.0,-6673.0,-8515.0,-2811.0,Cash Flow
Other Assets,,,,,,-646.0,-3114.0,-2803.0,-3211.0,Cash Flow
Accounts Payable,,,,,,-767.0,-505.0,917.0,1930.0,Cash Flow
Accrued Expenses,,,,,,3652.0,-9048.0,-3334.0,-1388.0,Cash Flow
Changes in Working Capital,,,,,,-32089.0,-19992.0,-14893.0,-7106.0,Cash Flow
Total Cash from Operations,,,,,,-184812.0,-68237.0,-110768.0,-158423.0,Cash Flow
Capital Expenditures,,,,,,-21446.0,-1902.0,-3276.0,-3499.0,Cash Flow
Sale/Maturity of Investment,,,,,,728394.0,68680.0,185797.0,260379.0,Cash Flow
Purchase of Investments,,,,,,-543293.0,-89155.0,-150864.0,-200318.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,185101.0,-20475.0,34933.0,60061.0,Cash Flow
Total Cash from Investing,,,,,,163655.0,-22377.0,31657.0,56562.0,Cash Flow
"Common Stock, Net",,,,,,8346.0,283.0,308.0,443.0,Cash Flow
"Preferred Stock, Net",,,,,,0.0,,,,Cash Flow
Options Exercised,,,,,,3617.0,1531.0,1530.0,2461.0,Cash Flow
Total Cash From Financing,,,,,,11963.0,1814.0,1838.0,2904.0,Cash Flow
Net Change in Cash,,,,,,-9194.0,-88800.0,-77273.0,-98957.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,192800.0,183606.0,183606.0,183606.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,183606.0,94806.0,106333.0,84649.0,Cash Flow
"Depreciation, Supplemental",,,,,,10454.0,3692.0,7367.0,11227.0,Cash Flow
Free Cash Flow,,,,,,-206258.0,-70139.0,-114044.0,-161922.0,
FCF Growth,,,,,,,-0.6599453112121711,0.6259712855900426,0.41982042018869903,
