,ALLO
% Above Low,0.6763
% Held by Institutions,0.7412000000000001
52-Wk Range,['6.43 - 19.25']
Annual Dividend $,
Annual Dividend %,
Ask,13.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,10.44
Bid Size,100.0
Closing Price,10.77
Day Change $,0.17
Day Change %,0.016
Day High,10.86
Day Low,10.4
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.2
Ex-dividend Date,No dividend
Historical Volatility,0.8079999999999999
Last (size),100.0
Last (time),1:00p ET 11/25/22
Market Cap,1.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,10.6
Short Interest,0.3814
Today's Open,10.47
Volume,762462.0
Volume 10-day Avg,1849423.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.15740740740740744
Growth 1yr High Est,0.13829787234042556
Growth 1yr Consensus Est,0.1478526398739165
Growth 2yr Low Est,0.19870370370370372
Growth 2yr High Est,0.07382183336647452
Growth 2yr Consensus Est,0.13626276853508912
Growth 5yr Low Est,0.1164454479109652
Growth 5yr High Est,0.053796769594371074
Growth 5yr Consensus Est,0.08512110875266814
Growth 5yr Actual/Est,0.1180574756426852
Growth 3yr Historic,0.011316467002942365
Price/Earnings (TTM),
Price/Sales (TTM),6288.03
Price/Book (MRQ),2.09635
Price/Cash Flow (TTM),
5yr Low,6.43
5yr High,55.0
5yr Avg Return,-0.10709999999999999
Short Int Current Month,31457546.0
Short Int Prev Month,30959549.0
Short Int Pct of Float,0.3813697
Days to Cover,17.07691
Float,82.54068
Shares Outstanding,144.2101
Institutions Holding Shares,267.0
FCF Growth 5yr,0.12861546485552347
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-1267.077
Net Profit Margin (TTM),-1265.802
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1097
EPS Growth (TTM),-0.1751
Revenue Growth (MRQ),-0.4302
Revenue Growth (TTM),-0.9936
Return On Equity (TTM),-0.3657
Return On Assets (TTM),-0.3179
Return On Investment (TTM),-0.3354
Revenue Per Employee (TTM),796.77
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-06-24 00:00:00
ford since,2022-09-23 00:00:00
cfra since,
theStreet since,2022-06-24 00:00:00
newConstructs since,
marketEdge opinion since,
