,ALLO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),6288.03,45.03,Valuation,139.6409060626249
Price/Book (MRQ),2.1,12.61,Valuation,0.16653449643140367
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-1267.077,-4.7459,Profitability,266.9835015487052
Net Profit Margin (TTM),-1265.802,-4.5467,Profitability,278.40015835661023
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.1097,-0.0014000000000000002,Gowth rates,78.35714285714285
EPS Growth (TTM),-0.1751,0.027200000000000002,Gowth rates,-6.4375
Revenue Growth (MRQ),-0.4302,1.3963999999999999,Gowth rates,-0.30807791463763967
Revenue Growth (TTM),-0.9936,0.9747,Gowth rates,-1.0193905817174516
Return On Equity (TTM),-0.3657,0.1967,Effectiveness,-1.8591764107778344
Return On Assets (TTM),-0.3179,0.0016,Effectiveness,-198.6875
Return On Investment (TTM),-0.3354,0.0219,Effectiveness,-15.315068493150685
Revenue Per Employee (TTM),796.77,1476201.0,Effectiveness,0.0005397435715055063
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
