,MOS
% Above Low,0.5412
% Held by Institutions,0.8748
52-Wk Range,['33.59 - 79.28']
Annual Dividend $,0.6
Annual Dividend %,0.0116
Ask,51.3
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,50.7
Bid Size,100.0
Change Since Close,-0.84| |(-1.62%)
Closing Price,51.77
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",10.23
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.5479999999999999
Last (size),7.0
Last (time),5:00p ET 11/25/22
Last Trade,50.93
Market Cap,17.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",5.06
Prev Close,51.77
Short Interest,0.0242
Today's Open,
Volume,183.0
Volume 10-day Avg,3946686.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,1.314285714285714
Growth 1yr High Est,0.7506849315068493
Growth 1yr Consensus Est,1.0324853228962816
Growth 2yr Low Est,0.5495590828924162
Growth 2yr High Est,0.3428698522948957
Growth 2yr Consensus Est,0.4462144675936559
Growth 5yr Low Est,0.5495590828924162
Growth 5yr High Est,0.3428698522948957
Growth 5yr Consensus Est,0.44621446759365585
Growth 5yr Actual/Est,2.403134705095083
Growth 3yr Historic,2.1007739938080494
Price/Earnings (TTM),5.06112
Price/Sales (TTM),0.95357
Price/Book (MRQ),1.52189
Price/Cash Flow (TTM),3.91487
5yr Low,6.5
5yr High,79.28
5yr Avg Return,0.16328333333333334
EPS Growth 5yr,0.3822856
Revenue Growth 5yr,0.11524129999999999
Dividend Growth 5yr,-0.2421417
Short Int Current Month,8215804.0
Short Int Prev Month,8854832.0
Short Int Pct of Float,0.0242034
Days to Cover,1.67228
Float,339.5217
Shares Outstanding,340.481
Institutions Holding Shares,1112.0
FCF Growth 5yr,1.9135878879373143
"Price/Earnings (TTM, GAAP)",5.06
"PEG Ratio (TTM, GAAP)",0.34
Gross Profit Margin (TTM),0.3211
Operating Profit Margin (TTM),0.27340000000000003
Net Profit Margin (TTM),0.1941
Annual Dividend Yield,0.0116
Dividend Change %,0.375
"Dividend Growth Rate, 3 Years",0.401
EPS Growth (MRQ),-0.1515
EPS Growth (TTM),1.2
Revenue Growth (MRQ),-0.0046
Revenue Growth (TTM),0.6845
Return On Equity (TTM),0.3386
Return On Assets (TTM),0.1612
Return On Investment (TTM),0.20170000000000002
Revenue Per Employee (TTM),1475840.0
Total Debt/Total Capital (MRQ),0.26170000000000004
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),0.61
Interest Coverage (MRQ),15.0
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-08-13 00:00:00
theStreet since,2021-03-03 00:00:00
cfra since,2022-03-04 00:00:00
ford since,2022-10-07 00:00:00
marketEdge opinion since,
