,RVNC
% Below High,0.2643
% Held by Institutions,0.8648
52-Wk Range,['11.27 - 30.95']
Annual Dividend $,
Annual Dividend %,
Ask,22.82
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,0.5
Bid,22.77
Bid Size,200.0
Day Change $,-0.24
Day Change %,-0.0104
Day High,23.8
Day Low,22.75
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.92
Ex-dividend Date,No dividend
Historical Volatility,0.6709999999999999
Last (size),1.0
Last (time),1:25p ET 11/28/22
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,23.01
Price,22.77
Short Interest,0.12890000000000001
Today's Open,23.03
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.04026845637583909
Growth 1yr High Est,-0.28743961352657
Growth 1yr Consensus Est,-0.12358557857536545
Growth 2yr Low Est,-0.034704481489499894
Growth 2yr High Est,-0.20643167117006467
Growth 2yr Consensus Est,-0.12056807632978228
Growth 5yr Low Est,0.023737792481097586
Growth 5yr High Est,-0.05547533575620661
Growth 5yr Consensus Est,-0.015868771637554513
Growth 5yr Actual/Est,-0.0008730033835480933
Growth 3yr Historic,0.04556884313923368
Price/Earnings (TTM),
Price/Sales (TTM),17.43296
Price/Book (MRQ),12.99418
Price/Cash Flow (TTM),
5yr Low,9.88
5yr High,37.45
5yr Avg Return,0.07578333333333333
EPS Growth 5yr,
Revenue Growth 5yr,2.039271
Dividend Growth 5yr,
Short Int Current Month,10242056.0
Short Int Prev Month,9562177.0
Short Int Pct of Float,0.1288845
Days to Cover,6.69225
Float,79.46691
Shares Outstanding,82.27358
Institutions Holding Shares,241.0
FCF Growth 5yr,0.17340574263299638
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6681999999999999
Operating Profit Margin (TTM),-2.3864
Net Profit Margin (TTM),-2.5192
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.3376
EPS Growth (TTM),0.12539999999999998
Revenue Growth (MRQ),0.022799999999999997
Revenue Growth (TTM),0.7242000000000001
Return On Equity (TTM),-2.0579
Return On Assets (TTM),-0.423
Return On Investment (TTM),-0.4746
Revenue Per Employee (TTM),219382.0
Total Debt/Total Capital (MRQ),0.7271
Change in Debt/Total Capital Quarter over Quarter,0.0013000000000000002
Quick Ratio (MRQ),5.33
Interest Coverage (MRQ),-11.69
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2015-03-09 00:00:00
theStreet since,2015-10-21 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
