,RVNC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,26.92,Valuation,
Price/Sales (TTM),17.43,18.11,Valuation,0.962451684152402
Price/Book (MRQ),12.99,11.51,Valuation,1.1285838401390096
"PEG Ratio (TTM, GAAP)",,0.46,Valuation,
Gross Profit Margin (TTM),0.6681999999999999,0.6773,Profitability,0.9865642994241841
Operating Profit Margin (TTM),-2.3864,-0.8239000000000001,Profitability,2.896468017963345
Net Profit Margin (TTM),-2.5192,-0.8640000000000001,Profitability,2.9157407407407403
Annual Dividend Yield,,0.0217,Dividend,
Dividend Change %,,0.0947,Dividend,
"Dividend Growth Rate, 3 Years",,0.084,Dividend,
EPS Growth (MRQ),-0.3376,0.0883,Gowth rates,-3.8233295583238958
EPS Growth (TTM),0.12539999999999998,0.5870000000000001,Gowth rates,0.2136286201022146
Revenue Growth (MRQ),0.022799999999999997,0.0441,Gowth rates,0.5170068027210883
Revenue Growth (TTM),0.7242000000000001,0.1761,Gowth rates,4.112436115843271
Return On Equity (TTM),-2.0579,0.30160000000000003,Effectiveness,-6.823275862068965
Return On Assets (TTM),-0.423,0.092,Effectiveness,-4.5978260869565215
Return On Investment (TTM),-0.4746,0.13820000000000002,Effectiveness,-3.4341534008683063
Revenue Per Employee (TTM),219382.0,1425813.0,Effectiveness,0.1538644969571746
Total Debt/Total Capital (MRQ),0.7271,0.4169,Financial strength,1.7440633245382586
Change in Debt/Total Capital Quarter over Quarter,0.0013000000000000002,0.0,Financial strength,inf
Quick Ratio (MRQ),5.33,1.22,Financial strength,4.368852459016393
Interest Coverage (MRQ),-11.69,26.08,Financial strength,-0.4482361963190184
