,GGG
% Below High,0.134
% Held by Institutions,0.884
52-Wk Range,['56.48 - 81.09']
Annual Dividend $,0.84
Annual Dividend %,0.012
Ask,70.6
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,0.8
Bid,45.68
Bid Size,300.0
Closing Price,70.22
Day Change $,0.14
Day Change %,0.002
Day High,70.37
Day Low,69.84
Dividend Pay Date,2022-11-02 00:00:00
"EPS (TTM, GAAP)",2.62
Ex-dividend,2022-10-14 00:00:00
Ex-dividend Date,10/14/22
Historical Volatility,0.272
Last (size),108.0
Last (time),5:00p ET 11/25/22
Market Cap,11.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",26.83
Prev Close,70.08
Short Interest,0.0169
Today's Open,70.37
Volume,343017.0
Volume 10-day Avg,1082234.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.08085106382978724
Growth 1yr High Est,0.0772357723577235
Growth 1yr Consensus Est,0.07904341809375537
Growth 2yr Low Est,0.05223655553694084
Growth 2yr High Est,0.11408958429206928
Growth 2yr Consensus Est,0.08316306991450506
Growth 5yr Low Est,0.05223655553694084
Growth 5yr High Est,0.11408958429206928
Growth 5yr Consensus Est,0.08316306991450506
Growth 5yr Actual/Est,0.10117751819650006
Growth 3yr Historic,0.06939946018893389
Price/Earnings (TTM),26.83174
Price/Sales (TTM),5.56089
Price/Book (MRQ),6.61748
Price/Cash Flow (TTM),22.87283
5yr Low,37.36
5yr High,81.09
5yr Avg Return,0.10036666666666666
EPS Growth 5yr,0.6031192999999999
Revenue Growth 5yr,0.0837822
Dividend Growth 5yr,0.11255559999999999
Short Int Current Month,2813050.0
Short Int Prev Month,3108567.0
Short Int Pct of Float,0.0168617
Days to Cover,2.28185
Float,166.9695
Shares Outstanding,168.529
Institutions Holding Shares,634.0
FCF Growth 5yr,-1.0925812895775546
"Price/Earnings (TTM, GAAP)",26.83
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.49770000000000003
Operating Profit Margin (TTM),0.26539999999999997
Net Profit Margin (TTM),0.2137
Annual Dividend Yield,0.012
Dividend Change %,0.0714
"Dividend Growth Rate, 3 Years",0.1227
EPS Growth (MRQ),-0.0103
EPS Growth (TTM),0.0489
Revenue Growth (MRQ),-0.0053
Revenue Growth (TTM),0.1093
Return On Equity (TTM),0.2712
Return On Assets (TTM),0.1888
Return On Investment (TTM),0.2298
Revenue Per Employee (TTM),560025.0
Total Debt/Total Capital (MRQ),0.0618
Change in Debt/Total Capital Quarter over Quarter,-0.0043
Quick Ratio (MRQ),1.91
Interest Coverage (MRQ),92.83
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2017-04-28 00:00:00
researchTeam since,2022-01-28 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-07-24 00:00:00
ford since,2022-01-28 00:00:00
marketEdge opinion since,
