,IRBT
% Above Low,0.4742
% Held by Institutions,1.0208
52-Wk Range,['35.41 - 81.33']
Annual Dividend $,
Annual Dividend %,
Ask,52.57
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,51.91
Bid Size,100.0
Closing Price,52.2
Day Change $,-0.26
Day Change %,-0.005
Day High,52.37
Day Low,51.93
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-8.6
Ex-dividend Date,No dividend
Historical Volatility,0.531
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,1.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,52.46
Short Interest,0.2207
Today's Open,52.23
Volume,161104.0
Volume 10-day Avg,374296.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.33252427184466016
Growth 2yr High Est,-0.8913043478260869
Growth 2yr Consensus Est,-0.6119143098353735
Growth 5yr Low Est,-0.33252427184466016
Growth 5yr High Est,-0.8913043478260869
Growth 5yr Consensus Est,-0.6119143098353735
Growth 5yr Actual/Est,-1.101923205616066
Growth 3yr Historic,-0.07059727711901626
Price/Earnings (TTM),
Price/Sales (TTM),1.11459
Price/Book (MRQ),2.54124
Price/Cash Flow (TTM),
5yr Low,32.79
5yr High,197.4
5yr Avg Return,-0.0011999999999999982
EPS Growth 5yr,-0.061525699999999996
Revenue Growth 5yr,0.1882666
Dividend Growth 5yr,
Short Int Current Month,5934303.0
Short Int Prev Month,5587774.0
Short Int Pct of Float,0.2206939
Days to Cover,12.53984
Float,26.92149
Shares Outstanding,27.35144
Institutions Holding Shares,327.0
FCF Growth 5yr,0.5586471338523028
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3048
Operating Profit Margin (TTM),-0.1565
Net Profit Margin (TTM),-0.18239999999999998
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.9451
EPS Growth (TTM),-4.2133
Revenue Growth (MRQ),0.0894
Revenue Growth (TTM),-0.2257
Return On Equity (TTM),-0.3589
Return On Assets (TTM),-0.2079
Return On Investment (TTM),-0.32780000000000004
Revenue Per Employee (TTM),933644.0
Total Debt/Total Capital (MRQ),0.1381
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),0.73
Interest Coverage (MRQ),-3943.0
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-08-08 00:00:00
researchTeam since,2021-04-12 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-04-01 00:00:00
cfra since,
marketEdge opinion since,
