,SWK
% Above Low,0.1386
% Held by Institutions,0.8968
52-Wk Range,['70.24 - 196.52']
Annual Dividend $,3.2
Annual Dividend %,0.0385
Ask,79.98
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.3
Bid,79.94
Bid Size,200.0
Day Change $,-3.1
Day Change %,-0.0373
Day High,82.97
Day Low,79.67
Dividend Pay Date,2022-12-20 00:00:00
"EPS (TTM, GAAP)",3.46
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.435
Last (size),126.0
Last (time),3:45p ET 11/28/22
Market Cap,11.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",24.03
Prev Close,83.08
Price,79.98
Short Interest,0.039599999999999996
Today's Open,82.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.6155988857938719
Growth 1yr High Est,-0.5854545454545454
Growth 1yr Consensus Est,-0.6005267156242087
Growth 2yr Low Est,-0.4792970274379987
Growth 2yr High Est,-0.07233253588516741
Growth 2yr Consensus Est,-0.275814781661583
Growth 5yr Low Est,-0.1665449131131613
Growth 5yr High Est,0.03588920129810258
Growth 5yr Consensus Est,-0.06532785590752936
Growth 5yr Actual/Est,-0.058227000564608944
Growth 3yr Historic,0.0787821323219553
Price/Earnings (TTM),24.02969
Price/Sales (TTM),0.72177
Price/Book (MRQ),1.3769
Price/Cash Flow (TTM),10.86738
5yr Low,70.0
5yr High,225.0
5yr Avg Return,-0.047566666666666674
EPS Growth 5yr,0.0805043
Revenue Growth 5yr,0.0613967
Dividend Growth 5yr,0.056870000000000004
Short Int Current Month,5821185.0
Short Int Prev Month,7226127.0
Short Int Pct of Float,0.0395781
Days to Cover,2.8415
Float,147.1625
Shares Outstanding,147.9418
Institutions Holding Shares,1036.0
FCF Growth 5yr,-3.2963595092270217
"Price/Earnings (TTM, GAAP)",24.03
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2827
Operating Profit Margin (TTM),0.0349
Net Profit Margin (TTM),0.0329
Annual Dividend Yield,0.0385
Dividend Change %,0.0719
"Dividend Growth Rate, 3 Years",0.0492
EPS Growth (MRQ),-0.5292
EPS Growth (TTM),-0.653
Revenue Growth (MRQ),-0.0622
Revenue Growth (TTM),0.1967
Return On Equity (TTM),0.057800000000000004
Return On Assets (TTM),0.022400000000000003
Return On Investment (TTM),0.0305
Revenue Per Employee (TTM),238835.0
Total Debt/Total Capital (MRQ),0.4534
Change in Debt/Total Capital Quarter over Quarter,0.0072
Quick Ratio (MRQ),0.32
Interest Coverage (MRQ),2.5
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-03-31 00:00:00
cfra since,2022-07-28 00:00:00
ford since,2022-03-11 00:00:00
marketEdge opinion since,
