,SWK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",24.03,24.01,Valuation,1.0008329862557268
Price/Sales (TTM),0.72,3.06,Valuation,0.23529411764705882
Price/Book (MRQ),1.38,7.44,Valuation,0.1854838709677419
"PEG Ratio (TTM, GAAP)",,1.49,Valuation,
Gross Profit Margin (TTM),0.2827,0.32799999999999996,Profitability,0.8618902439024392
Operating Profit Margin (TTM),0.0349,0.0198,Profitability,1.7626262626262625
Net Profit Margin (TTM),0.0329,-0.0086,Profitability,-3.825581395348837
Annual Dividend Yield,0.0385,0.0143,Dividend,2.692307692307692
Dividend Change %,0.0719,0.1666,Dividend,0.4315726290516207
"Dividend Growth Rate, 3 Years",0.0492,0.0885,Dividend,0.5559322033898305
EPS Growth (MRQ),-0.5292,0.3518,Gowth rates,-1.504263786242183
EPS Growth (TTM),-0.653,0.16149999999999998,Gowth rates,-4.0433436532507745
Revenue Growth (MRQ),-0.0622,0.196,Gowth rates,-0.3173469387755102
Revenue Growth (TTM),0.1967,0.1475,Gowth rates,1.3335593220338984
Return On Equity (TTM),0.057800000000000004,0.2859,Effectiveness,0.20216859041622948
Return On Assets (TTM),0.022400000000000003,0.0851,Effectiveness,0.2632197414806111
Return On Investment (TTM),0.0305,0.12490000000000001,Effectiveness,0.244195356285028
Revenue Per Employee (TTM),238835.0,343373.0,Effectiveness,0.6955555620272997
Total Debt/Total Capital (MRQ),0.4534,0.6352000000000001,Financial strength,0.7137909319899244
Change in Debt/Total Capital Quarter over Quarter,0.0072,0.0189,Financial strength,0.38095238095238093
Quick Ratio (MRQ),0.32,1.07,Financial strength,0.29906542056074764
Interest Coverage (MRQ),2.5,20.9,Financial strength,0.11961722488038279
