,ADI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",31.7,20.56,Valuation,1.5418287937743191
Price/Sales (TTM),7.08,7.41,Valuation,0.9554655870445344
Price/Book (MRQ),2.33,13.13,Valuation,0.17745620715917745
"PEG Ratio (TTM, GAAP)",2.13,0.9,Valuation,2.3666666666666667
Gross Profit Margin (TTM),0.627,0.5489,Profitability,1.1422845691382764
Operating Profit Margin (TTM),0.2729,0.25739999999999996,Profitability,1.0602175602175603
Net Profit Margin (TTM),0.2288,0.2224,Profitability,1.0287769784172662
Annual Dividend Yield,0.0182,0.014499999999999999,Dividend,1.2551724137931035
Dividend Change %,0.1041,0.0676,Dividend,1.539940828402367
"Dividend Growth Rate, 3 Years",0.1225,0.091,Dividend,1.3461538461538463
EPS Growth (MRQ),0.2616,1.5356,Gowth rates,0.1703568637666059
EPS Growth (TTM),0.4301,0.2274,Gowth rates,1.8913808267370273
Revenue Growth (MRQ),0.0443,0.1335,Gowth rates,0.3318352059925093
Revenue Growth (TTM),0.6416,0.24170000000000003,Gowth rates,2.6545304095986757
EPS Growth (MRQ),0.2616,1.5356,Effectiveness,0.1703568637666059
EPS Growth (TTM),0.4301,0.2274,Effectiveness,1.8913808267370273
Revenue Growth (MRQ),0.0443,0.1335,Effectiveness,0.3318352059925093
Revenue Growth (TTM),0.6416,0.24170000000000003,Effectiveness,2.6545304095986757
Total Debt/Total Capital (MRQ),0.1522,0.3576,Financial strength,0.42561521252796425
Change in Debt/Total Capital Quarter over Quarter,0.0001,0.0,Financial strength,inf
Quick Ratio (MRQ),1.45,2.24,Financial strength,0.6473214285714285
Interest Coverage (MRQ),29.95,15.8,Financial strength,1.8955696202531644
