,ADI
% Below High,0.1121
% Held by Institutions,0.8581
52-Wk Range,['133.48 - 188.20']
Annual Dividend $,3.04
Annual Dividend %,0.0182
Ask,167.09
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,166.46
Bid Size,100.0
Closing Price,167.09
Day Change $,-2.11
Day Change %,-0.0125
Day High,169.5
Day Low,166.98
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",5.27
Ex-dividend,2022-12-02 00:00:00
Ex-dividend Date,12/02/22
Historical Volatility,0.36600000000000005
Last (size),4.0
Last (time),1:00p ET 11/25/22
Market Cap,85.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",31.7
Prev Close,169.2
Short Interest,0.016399999999999998
Today's Open,169.04
Volume,1698649.0
Volume 10-day Avg,4139564.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,-0.036170212765957444
Growth 1yr High Est,0.23880597014925353
Growth 1yr Consensus Est,0.10131787869164804
Growth 2yr Low Est,0.004541825184350257
Growth 2yr High Est,0.1736198525445063
Growth 2yr Consensus Est,0.08908083886442827
Growth 5yr Low Est,0.21215122647455656
Growth 5yr High Est,0.3079596136549819
Growth 5yr Consensus Est,0.2600554200647692
Growth 5yr Actual/Est,0.2265561220123703
Growth 3yr Historic,0.19927660741646858
Price/Earnings (TTM),31.70131
Price/Sales (TTM),7.08329
Price/Book (MRQ),2.33368
Price/Cash Flow (TTM),16.8643
5yr Low,76.62
5yr High,191.95
5yr Avg Return,0.12773333333333334
EPS Growth 5yr,0.18050239999999998
Revenue Growth 5yr,0.18022729999999998
Dividend Growth 5yr,0.1090641
Short Int Current Month,8279300.0
Short Int Prev Month,7267298.0
Short Int Pct of Float,0.0164092
Days to Cover,2.0687
Float,504.5573
Shares Outstanding,509.2959
Institutions Holding Shares,1755.0
FCF Growth 5yr,0.7849577943910341
"Price/Earnings (TTM, GAAP)",31.7
"PEG Ratio (TTM, GAAP)",2.13
Gross Profit Margin (TTM),0.627
Operating Profit Margin (TTM),0.2729
Net Profit Margin (TTM),0.2288
Annual Dividend Yield,0.0182
Dividend Change %,0.1041
"Dividend Growth Rate, 3 Years",0.1225
EPS Growth (MRQ),0.2616
EPS Growth (TTM),0.4301
Revenue Growth (MRQ),0.0443
Revenue Growth (TTM),0.6416
Total Debt/Total Capital (MRQ),0.1522
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),1.45
Interest Coverage (MRQ),29.95
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-05-24 00:00:00
cfra since,2020-02-21 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2010-05-04 00:00:00
