,NVR
% Above Low,0.258
% Held by Institutions,0.8454999999999999
52-Wk Range,"['3,576.01 - 5,982.45']"
Annual Dividend $,
Annual Dividend %,
Ask,4550.0
Ask Size,10.0
B/A Ratio,10.0
B/A Size,100x10
Beta,0.9
Bid,4410.0
Bid Size,100.0
Change Since Close,-88.76| |(-1.97%)
Closing Price,4498.76
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",447.79
Ex-dividend Date,No dividend
Historical Volatility,0.364
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,4410.0
Market Cap,14.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.05
Prev Close,4498.76
Short Interest,0.025099999999999997
Today's Open,
Volume,2.0
Volume 10-day Avg,17796.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.3773631381242688
Growth 1yr High Est,0.365623188405797
Growth 1yr Consensus Est,0.3714931632650329
Growth 2yr Low Est,-0.026300323905183498
Growth 2yr High Est,0.07031849236480364
Growth 2yr Consensus Est,0.022009084229810072
Growth 5yr Low Est,0.10921355670343155
Growth 5yr High Est,0.16980265266885744
Growth 5yr Consensus Est,0.1395081046861445
Growth 5yr Actual/Est,0.14308584015233491
Growth 3yr Historic,0.10833370363474326
Price/Earnings (TTM),10.04661
Price/Sales (TTM),1.42679
Price/Book (MRQ),4.68418
Price/Cash Flow (TTM),8.8566
5yr Low,2040.71
5yr High,5982.45
5yr Avg Return,0.10549999999999998
EPS Growth 5yr,0.2533414
Revenue Growth 5yr,0.08982580000000001
Dividend Growth 5yr,
Short Int Current Month,75398.0
Short Int Prev Month,66549.0
Short Int Pct of Float,0.0251486
Days to Cover,3.92289
Float,2.9983
Shares Outstanding,3.19589
Institutions Holding Shares,780.0
FCF Growth 5yr,0.35398696969118754
"Price/Earnings (TTM, GAAP)",10.05
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2741
Operating Profit Margin (TTM),0.21350000000000002
Net Profit Margin (TTM),0.1593
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.041600000000000005
EPS Growth (TTM),0.4504
Revenue Growth (MRQ),0.0468
Revenue Growth (TTM),0.1086
Return On Equity (TTM),0.5262
Return On Assets (TTM),0.2872
Return On Investment (TTM),0.3762
Revenue Per Employee (TTM),1526797.0
Total Debt/Total Capital (MRQ),0.2288
Change in Debt/Total Capital Quarter over Quarter,-0.0034999999999999996
Quick Ratio (MRQ),
Interest Coverage (MRQ),75.77
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-06-24 00:00:00
theStreet since,2011-12-06 00:00:00
ford since,2022-06-24 00:00:00
cfra since,
marketEdge opinion since,
