,NVR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",10.05,7.14,Valuation,1.4075630252100841
Price/Sales (TTM),1.43,7.33,Valuation,0.19508867667121418
Price/Book (MRQ),4.68,2.07,Valuation,2.260869565217391
"PEG Ratio (TTM, GAAP)",,0.43,Valuation,
Gross Profit Margin (TTM),0.2741,0.3091,Profitability,0.8867680362342285
Operating Profit Margin (TTM),0.21350000000000002,0.1507,Profitability,1.4167219641672197
Net Profit Margin (TTM),0.1593,0.11320000000000001,Profitability,1.4072438162544167
Annual Dividend Yield,,0.016399999999999998,Dividend,
Dividend Change %,,0.2639,Dividend,
"Dividend Growth Rate, 3 Years",,0.1757,Dividend,
EPS Growth (MRQ),-0.041600000000000005,-0.0688,Gowth rates,0.6046511627906977
EPS Growth (TTM),0.4504,0.16670000000000001,Gowth rates,2.701859628074385
Revenue Growth (MRQ),0.0468,0.1173,Gowth rates,0.3989769820971867
Revenue Growth (TTM),0.1086,0.149,Gowth rates,0.7288590604026846
Return On Equity (TTM),0.5262,0.38439999999999996,Effectiveness,1.3688865764828304
Return On Assets (TTM),0.2872,0.135,Effectiveness,2.127407407407407
Return On Investment (TTM),0.3762,0.1699,Effectiveness,2.2142436727486756
Revenue Per Employee (TTM),1526797.0,1633986.0,Effectiveness,0.9344002947393674
Total Debt/Total Capital (MRQ),0.2288,0.29309999999999997,Financial strength,0.7806209484817469
Change in Debt/Total Capital Quarter over Quarter,-0.0034999999999999996,-0.0005,Financial strength,6.999999999999999
Quick Ratio (MRQ),,0.53,Financial strength,
Interest Coverage (MRQ),75.77,51.09,Financial strength,1.4830690937561164
