,CEG
% Below High,0.0075
% Held by Institutions,0.8223999999999999
52-Wk Range,['38.00 - 97.89']
Annual Dividend $,0.564
Annual Dividend %,0.0058
Ask,98.5
Ask Size,700.0
B/A Ratio,5.714285714285714
B/A Size,4000x700
Beta,
Bid,94.5
Bid Size,4000.0
Closing Price,97.16
Day Change $,0.54
Day Change %,0.005600000000000001
Day High,97.45
Day Low,96.0
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",-0.46
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.48700000000000004
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,31.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,96.62
Short Interest,0.016399999999999998
Today's Open,96.6
Volume,631686.0
Volume 10-day Avg,2120542.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-07 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,17.09090909090909
Growth 2yr High Est,0.433420365535248
Growth 2yr Consensus Est,8.762164728222169
Growth 5yr Low Est,17.09090909090909
Growth 5yr High Est,0.433420365535248
Growth 5yr Consensus Est,8.762164728222169
Growth 5yr Actual/Est,-1.4061316574006928
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),1.40347
Price/Book (MRQ),2.94097
Price/Cash Flow (TTM),19.77166
5yr Low,38.0
5yr High,97.89
5yr Avg Return,1.5568
Short Int Current Month,5345473.0
Short Int Prev Month,4721178.0
Short Int Pct of Float,0.016384799999999998
Days to Cover,2.10763
Float,326.2454
Shares Outstanding,327.0179
Institutions Holding Shares,1046.0
FCF Growth 5yr,-1.6886615752906622
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3015
Operating Profit Margin (TTM),0.029300000000000003
Net Profit Margin (TTM),-0.0063
Annual Dividend Yield,0.0058
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.6937000000000001
EPS Growth (TTM),0.33880000000000005
Revenue Growth (MRQ),0.1072
Revenue Growth (TTM),0.22719999999999999
Return On Equity (TTM),-0.013500000000000002
Return On Assets (TTM),-0.003
Return On Investment (TTM),-0.0036
Revenue Per Employee (TTM),1935619.0
Total Debt/Total Capital (MRQ),0.324
Change in Debt/Total Capital Quarter over Quarter,-0.0027
Quick Ratio (MRQ),1.06
Interest Coverage (MRQ),-0.53
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-04-23 00:00:00
cfra since,2022-04-23 00:00:00
ford since,2022-03-04 00:00:00
newConstructs since,2022-11-25 00:00:00
theStreet since,
marketEdge opinion since,
