,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,97.89,,,,,
low,38.0,,,,,
change,1.5568000000000002,,,,,
Date,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,504.0,1605.0,806.0,1192.0,Balance Sheet
"Trade Accts Recvble, Gross",,1724.0,1986.0,1783.0,1874.0,Balance Sheet
Prov. for Doubtful Accts,,-55.0,-50.0,-49.0,-55.0,Balance Sheet
"Trade Accts Recvble, Net",,1669.0,1936.0,1734.0,1819.0,Balance Sheet
Other Receivables,,1272.0,911.0,740.0,1103.0,Balance Sheet
"Total Receivables, Net",,2941.0,2847.0,2474.0,2922.0,Balance Sheet
Invent. - Finished Goods,,284.0,212.0,357.0,422.0,Balance Sheet
Invent. - Raw Materials,,1004.0,999.0,1026.0,1042.0,Balance Sheet
Total Inventory,,1288.0,1211.0,1383.0,1464.0,Balance Sheet
Restricted Cash - Current,,72.0,91.0,120.0,111.0,Balance Sheet
Discont. Ops.-Curr. Assets,,13.0,,,,Balance Sheet
Other Current Assets,,3163.0,3013.0,3307.0,4164.0,Balance Sheet
"Other Curr. Assets, Total",,3248.0,3104.0,3427.0,4275.0,Balance Sheet
Total Current Assets,,7981.0,8767.0,8090.0,9853.0,Balance Sheet
Prop./Plant/Equip. - Gross,,35485.0,35844.0,35904.0,36279.0,Balance Sheet
Accumulated Depreciation,,-15873.0,-16007.0,-16165.0,-16574.0,Balance Sheet
Prop./Plant/Equip. - Net,,19612.0,19837.0,19739.0,19705.0,Balance Sheet
Long Term Investments,,174.0,217.0,211.0,193.0,Balance Sheet
Deferred Charges,,1683.0,0.0,0.0,0.0,Balance Sheet
Def. Inc. Tax - LT Asset,,32.0,36.0,34.0,23.0,Balance Sheet
Other Long Term Assets,,18604.0,17989.0,17259.0,16842.0,Balance Sheet
Total Assets,,48086.0,46846.0,45333.0,46616.0,Balance Sheet
Accounts Payable,,1757.0,1847.0,2160.0,2597.0,Balance Sheet
Accrued Expenses,,737.0,803.0,749.0,933.0,Balance Sheet
Notes Payable/ST Debt,,2082.0,1080.0,200.0,693.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,1220.0,191.0,184.0,181.0,Balance Sheet
Other Payables,,908.0,727.0,587.0,773.0,Balance Sheet
Discontinued Operations,,3.0,,,,Balance Sheet
Other Current Liabilities,,1289.0,1786.0,1998.0,2710.0,Balance Sheet
"Other Curr. Lblts, Total",,2200.0,2513.0,2585.0,3483.0,Balance Sheet
Total Current Liabilities,,7996.0,6434.0,5878.0,7887.0,Balance Sheet
Total Long Term Debt,,4894.0,4548.0,4507.0,4480.0,Balance Sheet
Total Debt,,8196.0,5819.0,4891.0,5354.0,Balance Sheet
Deferred Income Tax,,3703.0,3247.0,2855.0,2647.0,Balance Sheet
Minority Interest,,395.0,400.0,389.0,366.0,Balance Sheet
Reserves,,12819.0,13276.0,13402.0,12564.0,Balance Sheet
Pension Benefits - Underfunded,,847.0,1584.0,1544.0,1497.0,Balance Sheet
Other LT Liabilities,,6213.0,6252.0,5758.0,6372.0,Balance Sheet
"Other Liabilities, Total",,19879.0,21112.0,20704.0,20433.0,Balance Sheet
Total Liabilities,,36867.0,35741.0,34333.0,35813.0,Balance Sheet
Common Stock,,,13212.0,13241.0,13255.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,11250.0,-91.0,-249.0,-483.0,Balance Sheet
