,AM
% Below High,0.0437
% Held by Institutions,0.5341
52-Wk Range,['8.56 - 11.57']
Annual Dividend $,0.9
Annual Dividend %,0.0814
Ask,11.75
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,2.4
Bid,10.9
Bid Size,100.0
Closing Price,11.06
Day Change $,0.04
Day Change %,0.0036
Day High,11.14
Day Low,11.0
Dividend Pay Date,2022-11-09 00:00:00
"EPS (TTM, GAAP)",0.67
Ex-dividend,2022-10-25 00:00:00
Ex-dividend Date,10/25/22
Historical Volatility,0.36
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,5.3B
"P/E Ratio (TTM, GAAP)",16.52
Prev Close,11.02
Short Interest,0.029500000000000002
Today's Open,11.05
Volume,835261.0
Volume 10-day Avg,2679922.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.0
Growth 2yr High Est,0.17499999999999982
Growth 2yr Consensus Est,0.08749999999999991
Growth 5yr Low Est,0.0
Growth 5yr High Est,0.17499999999999982
Growth 5yr Consensus Est,0.08749999999999991
Growth 5yr Actual/Est,-1.0467961475654373
Growth 3yr Historic,-1.0822115384615385
Price/Earnings (TTM),16.52152
Price/Sales (TTM),5.91341
Price/Book (MRQ),2.39247
Price/Cash Flow (TTM),10.21211
5yr Low,1.69
5yr High,22.39
5yr Avg Return,-0.03674999999999999
EPS Growth 5yr,0.6761577
Revenue Growth 5yr,
Dividend Growth 5yr,
Short Int Current Month,9470200.0
Short Int Prev Month,11738996.0
Short Int Pct of Float,0.029461400000000002
Days to Cover,3.48654
Float,321.4952
Shares Outstanding,478.4846
Institutions Holding Shares,401.0
FCF Growth 5yr,0.2163961580906518
"Price/Earnings (TTM, GAAP)",16.52
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.5842
Net Profit Margin (TTM),0.35990000000000005
Annual Dividend Yield,0.08140000000000001
Dividend Change %,-0.2683
"Dividend Growth Rate, 3 Years",0.18489999999999998
EPS Growth (MRQ),0.0582
EPS Growth (TTM),-0.025400000000000002
Revenue Growth (MRQ),0.009300000000000001
Revenue Growth (TTM),0.0106
Return On Equity (TTM),0.1421
Return On Assets (TTM),0.057999999999999996
Return On Investment (TTM),0.0592
Revenue Per Employee (TTM),1724320.0
Total Debt/Total Capital (MRQ),0.5870000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),5.79
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,
researchTeam since,
marketEdge opinion since,
