,ASAN
% Above Low,0.17800000000000002
% Held by Institutions,0.5628
52-Wk Range,['15.67 - 113.40']
Annual Dividend $,
Annual Dividend %,
Ask,18.6
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,18.46
Bid Size,200.0
Closing Price,18.46
Day Change $,-0.38
Day Change %,-0.0202
Day High,18.66
Day Low,17.92
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.97
Ex-dividend Date,No dividend
Historical Volatility,1.1440000000000001
Last (size),30.0
Last (time),5:00p ET 11/25/22
Market Cap,3.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,18.84
Short Interest,0.27390000000000003
Today's Open,18.63
Volume,1607220.0
Volume 10-day Avg,3501212.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-01 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.3750000000000002
Growth 1yr High Est,0.27368421052631575
Growth 1yr Consensus Est,0.324342105263158
Growth 2yr Low Est,0.11931818181818188
Growth 2yr High Est,-0.0739016963897347
Growth 2yr Consensus Est,0.022708242714223587
Growth 5yr Low Est,0.11931818181818188
Growth 5yr High Est,-0.0739016963897347
Growth 5yr Consensus Est,0.022708242714223587
Growth 5yr Actual/Est,-0.0224966881638546
Growth 3yr Historic,-0.06896551724137927
Price/Earnings (TTM),
Price/Sales (TTM),7.56668
Price/Book (MRQ),38.40759
Price/Cash Flow (TTM),
5yr Low,15.67
5yr High,145.79
5yr Avg Return,0.2755666666666667
Short Int Current Month,15027846.0
Short Int Prev Month,15384522.0
Short Int Pct of Float,0.2738536
Days to Cover,4.25825
Float,54.89061
Shares Outstanding,191.7608
Institutions Holding Shares,323.0
FCF Growth 5yr,0.27288823538525175
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8989
Operating Profit Margin (TTM),-0.7752
Net Profit Margin (TTM),-0.7934000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.13210000000000002
EPS Growth (TTM),-0.0907
Revenue Growth (MRQ),0.11810000000000001
Revenue Growth (TTM),0.5944
Return On Equity (TTM),-1.9988
Return On Assets (TTM),-0.5398
Return On Investment (TTM),-0.8606999999999999
Revenue Per Employee (TTM),280809.0
Total Debt/Total Capital (MRQ),0.2575
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2021-12-03 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2021-12-03 00:00:00
marketEdge opinion since,
