,2020,2021,2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Report
high,32.51,145.79,76.93,,,,,
low,20.57,25.41,15.67,,,,,
change,0.0944,1.485,-0.7526999999999999,,,,,
Date,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Balance Sheet
Cash & Equivalents,,,,272.0,240.0,197.0,148.0,Balance Sheet
Short Term Investments,,,,72.0,72.0,84.0,90.0,Balance Sheet
Cash and Short Term Invs,,,,343.0,312.0,281.0,239.0,Balance Sheet
"Total Receivables, Net",,,,47.0,59.0,67.0,53.0,Balance Sheet
Prepaid Expenses,,,,13.0,23.0,29.0,36.0,Balance Sheet
"Other Curr. Assets, Total",,,,15.0,17.0,20.0,24.0,Balance Sheet
Total Current Assets,,,,419.0,411.0,397.0,352.0,Balance Sheet
Buildings,,,,94.0,94.0,96.0,96.0,Balance Sheet
Machinery/Equipment,,,,13.0,14.0,15.0,14.0,Balance Sheet
Construction in Progress,,,,1.0,1.0,0.0,0.0,Balance Sheet
Other Prop./Plant/Equip.,,,,184.0,183.0,183.0,179.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,293.0,293.0,294.0,290.0,Balance Sheet
Accumulated Depreciation,,,,-17.0,-19.0,-22.0,-25.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,276.0,274.0,272.0,265.0,Balance Sheet
Long Term Investments,,,,10.0,3.0,1.0,0.0,Balance Sheet
Deferred Charges,,,,10.0,12.0,14.0,15.0,Balance Sheet
Restricted Cash - LT,,,,,,,1.0,Balance Sheet
Other Long Term Assets,,,,5.0,7.0,8.0,7.0,Balance Sheet
Total Assets,,,,720.0,707.0,691.0,640.0,Balance Sheet
Accounts Payable,,,,13.0,12.0,16.0,10.0,Balance Sheet
Accrued Expenses,,,,42.0,48.0,44.0,56.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,3.0,,,,Balance Sheet
Customer Advances,,,,151.0,170.0,199.0,207.0,Balance Sheet
Income Taxes Payable,,,,,7.0,10.0,12.0,Balance Sheet
Other Current Liabilities,,,,14.0,19.0,20.0,21.0,Balance Sheet
"Other Curr. Lblts, Total",,,,165.0,196.0,230.0,240.0,Balance Sheet
Total Current Liabilities,,,,224.0,255.0,289.0,305.0,Balance Sheet
Total Long Term Debt,,,,36.0,35.0,33.0,32.0,Balance Sheet
Total Debt,,,,39.0,35.0,33.0,32.0,Balance Sheet
"Other Liabilities, Total",,,,213.0,213.0,212.0,210.0,Balance Sheet
Total Liabilities,,,,472.0,503.0,535.0,548.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,987.0,1034.0,1086.0,1135.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-740.0,-830.0,-929.0,-1042.0,Balance Sheet
"Other Equity, Total",,,,0.0,-1.0,-1.0,-2.0,Balance Sheet
Total Equity,,,,247.0,204.0,156.0,92.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,720.0,707.0,691.0,640.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,97.0,103.0,105.0,106.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,89.0,85.0,85.0,85.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,186.0,188.0,190.0,192.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Income Statement
Total Revenue,,,,100337.0,111949.0,120646.0,134896.0,Income Statement
"Cost of Revenue, Total",,,,9581.0,11533.0,12438.0,13756.0,Income Statement
Selling/Gen/Admin Expense,,,,93746.0,107351.0,120776.0,134110.0,Income Statement
Labor & Related Expense,,,,11310.0,19213.0,18459.0,23069.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,105056.0,126564.0,139235.0,157179.0,Income Statement
Research & Development,,,,53788.0,60915.0,65205.0,75233.0,Income Statement
Total Operating Expense,,,,168425.0,199012.0,216878.0,246168.0,Income Statement
Total Operating Income,,,,-68088.0,-87063.0,-96232.0,-111272.0,Income Statement
"Inter Expse,Net Non-Operat",,,,-353.0,-307.0,-357.0,-311.0,Income Statement
"Inter Income, Non-Operating",,,,187.0,143.0,192.0,551.0,Income Statement
"Invest Income, Non-Operat",,,,-629.0,-321.0,-643.0,252.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,-442.0,-178.0,-451.0,803.0,Income Statement
OtherNon-OperatInc (Expnse),,,,-4.0,-592.0,-895.0,-967.0,Income Statement
"Other, Net",,,,-4.0,-592.0,-895.0,-967.0,Income Statement
Income Before Tax,,,,-68887.0,-88140.0,-97935.0,-111747.0,Income Statement
Income Tax - Total,,,,393.0,1909.0,933.0,1222.0,Income Statement
Income After Tax,,,,-69280.0,-90049.0,-98868.0,-112969.0,Income Statement
Net Inc Before Extra Items,,,,-69280.0,-90049.0,-98868.0,-112969.0,Income Statement
Total Net Income,,,,-69280.0,-90049.0,-98868.0,-112969.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,-69280.0,-90049.0,-98868.0,-112969.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,-69280.0,-90049.0,-98868.0,-112969.0,Income Statement
Basic/Primary Weighted Average Shares,,,,185022.0,187552.0,189590.0,191352.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,-0.37,-0.48,-0.52,-0.59,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,-0.37,-0.48,-0.52,-0.59,Income Statement
Diluted Weighted Average Shares,,,,185022.0,187552.0,189590.0,191352.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,-0.37,-0.48,-0.52,-0.59,Income Statement
Diluted EPS Incl. Extra. Items,,,,-0.37,-0.48,-0.52,-0.59,Income Statement
Div/Share-ComStockPrimIssue,,,,0.0,,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,353.0,307.0,357.0,311.0,Income Statement
"Depreciat/Amort, Suppl",,,,3101.0,3000.0,3104.0,3199.0,Income Statement
Normalzd Income Before Tax,,,,-68887.0,-88140.0,-97935.0,-111747.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,393.0,1909.0,933.0,1222.0,Income Statement
Normalized Income After Tax,,,,-69280.0,-90049.0,-98868.0,-112969.0,Income Statement
Normalzd Inc Avail to Common,,,,-69280.0,-90049.0,-98868.0,-112969.0,Income Statement
Basic Normalized EPS,,,,-0.37,-0.48,-0.52,-0.59,Income Statement
Diluted Normalized EPS,,,,-0.37,-0.48,-0.52,-0.59,Income Statement
Date,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Cash Flow
Net Income,,,,-198293.0,-288342.0,-98868.0,-211837.0,Cash Flow
Depreciation/Depletion,,,,5501.0,8464.0,3104.0,6303.0,Cash Flow
Unusual Items,,,,37.0,,,,Cash Flow
Other Non-Cash Items,,,,100690.0,150119.0,47279.0,103208.0,Cash Flow
Non-Cash Items,,,,100727.0,150119.0,47279.0,103208.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,943.0,-1463.0,1583.0,2517.0,Cash Flow
"Cash Interest Pd, Suppl",,,,611.0,833.0,219.0,496.0,Cash Flow
Accounts Receivable,,,,-13979.0,-26993.0,-8531.0,5203.0,Cash Flow
Prepaid Expenses,,,,-8988.0,-23652.0,-11803.0,-27702.0,Cash Flow
Other Assets,,,,-6353.0,-10724.0,-2196.0,-2023.0,Cash Flow
Accounts Payable,,,,9063.0,7259.0,4681.0,-1469.0,Cash Flow
Accrued Expenses,,,,19035.0,31745.0,-2600.0,9587.0,Cash Flow
Changes in Working Capital,,,,47605.0,45974.0,7352.0,19545.0,Cash Flow
Total Cash from Operations,,,,-44460.0,-83785.0,-41133.0,-82781.0,Cash Flow
Capital Expenditures,,,,-40790.0,-42719.0,-1118.0,-1753.0,Cash Flow
Sale of Fixed Assets,,,,22.0,,,,Cash Flow
Sale/Maturity of Investment,,,,124939.0,132674.0,35581.0,55890.0,Cash Flow
Purchase of Investments,,,,-61923.0,-62394.0,-46554.0,-72218.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,63038.0,70280.0,-10973.0,-16328.0,Cash Flow
Total Cash from Investing,,,,22248.0,27561.0,-12091.0,-18081.0,Cash Flow
Financing Cash Flow Items,,,,0.0,0.0,,,Cash Flow
"Common Stock, Net",,,,-36.0,-40.0,0.0,-2.0,Cash Flow
Options Exercised,,,,26177.0,29917.0,11384.0,12803.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,26141.0,29877.0,11384.0,12801.0,Cash Flow
Long Term Debt Issued,,,,9000.0,9000.0,0.0,0.0,Cash Flow
Long Term Debt Reduction,,,,-1167.0,-1667.0,-667.0,-1667.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,7833.0,7333.0,-667.0,-1667.0,Cash Flow
Total Cash From Financing,,,,33974.0,37210.0,10717.0,11134.0,Cash Flow
Foreign Exchange Effects,,,,178.0,-461.0,-568.0,-718.0,Cash Flow
Net Change in Cash,,,,11940.0,-19475.0,-43075.0,-90446.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,259878.0,259878.0,240403.0,240403.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,271818.0,240403.0,197328.0,149957.0,Cash Flow
"Depreciation, Supplemental",,,,5501.0,8464.0,3104.0,6303.0,Cash Flow
Free Cash Flow,,,,-85250.0,-126504.0,-42251.0,-84534.0,
FCF Growth,,,,,0.48391788856304996,-0.6660105609308797,1.000757378523585,
