,ASAN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),7.57,9.39,Valuation,0.8061767838125665
Price/Book (MRQ),38.41,12.63,Valuation,3.041171813143309
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.8989,0.7206,Profitability,1.2474326949764085
Operating Profit Margin (TTM),-0.7752,0.2172,Profitability,-3.569060773480663
Net Profit Margin (TTM),-0.7934000000000001,0.1553,Profitability,-5.108821635544109
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.13210000000000002,-0.0752,Gowth rates,1.756648936170213
EPS Growth (TTM),-0.0907,-0.2824,Gowth rates,0.32117563739376775
Revenue Growth (MRQ),0.11810000000000001,0.15560000000000002,Gowth rates,0.7589974293059126
Revenue Growth (TTM),0.5944,0.1906,Gowth rates,3.118572927597062
Return On Equity (TTM),-1.9988,0.2189,Effectiveness,-9.131110095934215
Return On Assets (TTM),-0.5398,0.10740000000000001,Effectiveness,-5.02607076350093
Return On Investment (TTM),-0.8606999999999999,0.1387,Effectiveness,-6.205479452054794
Revenue Per Employee (TTM),280809.0,667721.0,Effectiveness,0.42054840270112814
Total Debt/Total Capital (MRQ),0.2575,0.39659999999999995,Financial strength,0.6492687846696925
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001,0.0004,Financial strength,-1.7500000000000002
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
