,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,169.75,214.26,269.78,346.97,352.18,,,,,
low,145.95,151.93,146.71,240.8,262.47,,,,,
change,-0.0116,0.38670000000000004,0.2338,0.2989,-0.0058,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,2823.0,4464.0,3655.0,3756.0,Balance Sheet
"Total Receivables, Net",,,,,,4633.0,4945.0,4881.0,4703.0,Balance Sheet
Invent. - Finished Goods,,,,,,1000.0,1008.0,1005.0,1057.0,Balance Sheet
Invent. - Work In Progress,,,,,,334.0,318.0,321.0,321.0,Balance Sheet
Invent. - Raw Materials,,,,,,399.0,440.0,460.0,477.0,Balance Sheet
Total Inventory,,,,,,1733.0,1766.0,1786.0,1855.0,Balance Sheet
Prepaid Expenses,,,,,,869.0,1082.0,950.0,889.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,101.0,,,,Balance Sheet
Total Current Assets,,,,,,10159.0,12257.0,11272.0,11203.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,27019.0,25595.0,23993.0,22586.0,Balance Sheet
"Goodwill, Net",,,,,,27038.0,26822.0,25678.0,24565.0,Balance Sheet
Intangibles - Gross,,,,,,16173.0,,,,Balance Sheet
Accum. Intangible Amort.,,,,,,-2371.0,,,,Balance Sheet
Intangibles - Net,,,,,,13802.0,13506.0,12634.0,11810.0,Balance Sheet
Long Term Investments,,,,,,2619.0,,,,Balance Sheet
Other Long Term Assets,,,,,,968.0,4587.0,4308.0,4159.0,Balance Sheet
Total Assets,,,,,,81605.0,82767.0,77885.0,74323.0,Balance Sheet
Accounts Payable,,,,,,3503.0,3387.0,3360.0,3067.0,Balance Sheet
Notes Payable/ST Debt,,,,,,1163.0,2549.0,3215.0,3179.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,1709.0,1074.0,1651.0,1551.0,Balance Sheet
Customer Advances,,,,,,2940.0,3035.0,2933.0,2902.0,Balance Sheet
Income Taxes Payable,,,,,,429.0,,,,Balance Sheet
Other Current Liabilities,,,,,,3899.0,4461.0,4136.0,4362.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,7268.0,7496.0,7069.0,7264.0,Balance Sheet
Total Current Liabilities,,,,,,13643.0,14506.0,15295.0,15061.0,Balance Sheet
Long Term Debt,,,,,,11206.0,12833.0,11177.0,10608.0,Balance Sheet
Capital Lease Obligations,,,,,,129.0,,,,Balance Sheet
Total Long Term Debt,,,,,,11335.0,12833.0,11177.0,10608.0,Balance Sheet
Total Debt,,,,,,14207.0,16456.0,16043.0,15338.0,Balance Sheet
Deferred Income Tax,,,,,,6998.0,,,,Balance Sheet
Minority Interest,,,,,,1406.0,1427.0,1366.0,1311.0,Balance Sheet
"Other Liabilities, Total",,,,,,4188.0,11038.0,10373.0,9715.0,Balance Sheet
Total Liabilities,,,,,,37570.0,39804.0,38211.0,36695.0,Balance Sheet
Common Stock,,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Additional Paid-In Capital,,,,,,40180.0,39972.0,39978.0,40011.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,18710.0,19387.0,19159.0,19845.0,Balance Sheet
Treasury Stock - Common,,,,,,-9808.0,-11459.0,-12998.0,-14135.0,Balance Sheet
Cum. Trans. Adjustment,,,,,,-3993.0,-3933.0,-5615.0,-7318.0,Balance Sheet
Min. Pension Lblty Adj.,,,,,,-1130.0,-1077.0,-998.0,-927.0,Balance Sheet
Other Comprehensive Income,,,,,,75.0,72.0,147.0,151.0,Balance Sheet
"Other Equity, Total",,,,,,-5048.0,-4938.0,-6466.0,-8094.0,Balance Sheet
Total Equity,,,,,,44035.0,42963.0,39674.0,37628.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,81605.0,82767.0,77885.0,74323.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,509.0,503.0,498.0,494.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,43.0,49.0,54.0,58.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,8298.0,8211.0,8457.0,8797.0,Income Statement
"Cost of Revenue, Total",,,,,,4927.0,4798.0,4940.0,5285.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,787.0,802.0,771.0,770.0,Income Statement
Research & Development,,,,,,38.0,35.0,37.0,35.0,Income Statement
Depreciation/Amortization,,,,,,1135.0,1112.0,1091.0,1045.0,Income Statement
Unusual Expense (Income),,,,,,51.0,-4.0,993.0,15.0,Income Statement
"Other Operat Expse, Total",,,,,,23.0,-12.0,36.0,34.0,Income Statement
Total Operating Expense,,,,,,6961.0,6731.0,7868.0,7184.0,Income Statement
Total Operating Income,,,,,,1337.0,1480.0,589.0,1613.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,,,-31.0,-9.0,-5.0,-18.0,Income Statement
"Other, Net",,,,,,49.0,64.0,62.0,53.0,Income Statement
