,LIN
% Below High,0.022000000000000002
% Held by Institutions,0.8259000000000001
52-Wk Range,['262.47 - 352.18']
Annual Dividend $,4.68
Annual Dividend %,0.013600000000000001
Ask,345.26
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,0.9
Bid,345.03
Bid Size,400.0
Change Since Close,0.28| |(0.08%)
Closing Price,344.42
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",7.55
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.295
Last (size),200.0
Last (time),5:00p ET 11/25/22
Last Trade,344.7
Market Cap,170.3B
"P/E Ratio (TTM, GAAP)",45.59
Prev Close,344.42
Short Interest,0.006999999999999999
Today's Open,
Volume,532.0
Volume 10-day Avg,1479723.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,0.12890995260663507
Growth 1yr High Est,0.1708920187793428
Growth 1yr Consensus Est,0.14990098569298893
Growth 2yr Low Est,0.07411072777267103
Growth 2yr High Est,0.11832491877218942
Growth 2yr Consensus Est,0.09621782327243023
Growth 5yr Low Est,0.14336803677706855
Growth 5yr High Est,0.16331119656283966
Growth 5yr Consensus Est,0.1533396166699541
Growth 5yr Actual/Est,0.15383401934834018
Growth 3yr Historic,0.10503996146218558
Price/Earnings (TTM),45.59125
Price/Sales (TTM),5.04322
Price/Book (MRQ),4.5252
Price/Cash Flow (TTM),20.81083
5yr Low,145.95
5yr High,352.18
5yr Avg Return,0.1804
EPS Growth 5yr,0.0703088
Revenue Growth 5yr,0.23928660000000002
Dividend Growth 5yr,0.07164
Short Int Current Month,3459216.0
Short Int Prev Month,3633644.0
Short Int Pct of Float,0.0070099
Days to Cover,1.67802
Float,493.479
Shares Outstanding,494.3795
Institutions Holding Shares,2219.0
FCF Growth 5yr,0.291989139627353
"Price/Earnings (TTM, GAAP)",45.59
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.40909999999999996
Operating Profit Margin (TTM),0.1487
Net Profit Margin (TTM),0.1125
Annual Dividend Yield,0.013600000000000001
Dividend Change %,0.10070000000000001
"Dividend Growth Rate, 3 Years",0.08710000000000001
EPS Growth (MRQ),2.4502
EPS Growth (TTM),0.1118
Revenue Growth (MRQ),0.0402
Revenue Growth (TTM),0.1342
Return On Equity (TTM),0.09380000000000001
Return On Assets (TTM),0.0479
Return On Investment (TTM),0.060300000000000006
Revenue Per Employee (TTM),466811.0
Total Debt/Total Capital (MRQ),0.2826
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),0.62
Interest Coverage (MRQ),90.44
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-04-01 00:00:00
theStreet since,2020-06-08 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-02-14 00:00:00
ford since,2022-04-01 00:00:00
marketEdge opinion since,
