,RGR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",9.04,71.6,Valuation,0.12625698324022347
Price/Sales (TTM),1.57,1.12,Valuation,1.4017857142857142
Price/Book (MRQ),2.42,4.04,Valuation,0.599009900990099
"PEG Ratio (TTM, GAAP)",,2.17,Valuation,
Gross Profit Margin (TTM),0.3318,0.4144,Profitability,0.8006756756756757
Operating Profit Margin (TTM),0.20920000000000002,0.0529,Profitability,3.9546313799621933
Net Profit Margin (TTM),0.1749,0.0173,Profitability,10.109826589595377
Annual Dividend Yield,0.0443,0.0165,Dividend,2.6848484848484846
Dividend Change %,2.2947,0.08750000000000001,Dividend,26.225142857142856
"Dividend Growth Rate, 3 Years",0.41700000000000004,0.0415,Dividend,10.048192771084338
EPS Growth (MRQ),-0.11539999999999999,0.1759,Gowth rates,-0.6560545764638999
EPS Growth (TTM),-0.2817,-0.3306,Gowth rates,0.852087114337568
Revenue Growth (MRQ),-0.009000000000000001,0.06280000000000001,Gowth rates,-0.14331210191082802
Revenue Growth (TTM),-0.1602,0.1151,Gowth rates,-1.3918331885317117
Return On Equity (TTM),0.2919,0.0245,Effectiveness,11.914285714285713
Return On Assets (TTM),0.244,0.0403,Effectiveness,6.054590570719602
Return On Investment (TTM),0.2904,0.0563,Effectiveness,5.158081705150977
Revenue Per Employee (TTM),321475.0,596566.0,Effectiveness,0.5388758326823855
Total Debt/Total Capital (MRQ),0.0,0.4744,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0019,Financial strength,
Quick Ratio (MRQ),4.81,1.03,Financial strength,4.6699029126213585
Interest Coverage (MRQ),,16.69,Financial strength,
