,RGR
% Above Low,0.09640000000000001
% Held by Institutions,0.6917
52-Wk Range,['49.50 - 74.88']
Annual Dividend $,2.42
Annual Dividend %,0.0443
Ask,54.33
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.5
Bid,54.26
Bid Size,200.0
Day Change $,-0.31
Day Change %,-0.005699999999999999
Day High,55.24
Day Low,54.13
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",6.04
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.314
Last (size),1.0
Last (time),12:43p ET 11/28/22
Market Cap,959.6M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.04
Prev Close,54.58
Price,54.27
Short Interest,0.0506
Today's Open,54.76
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-0.42991755005889287
Growth 1yr High Est,-0.4323699421965318
Growth 1yr Consensus Est,-0.43114374612771234
Growth 2yr Low Est,-0.3368596014757274
Growth 2yr High Est,-0.24367987944857145
Growth 2yr Consensus Est,-0.29026974046214943
Growth 5yr Low Est,-0.3368596014757274
Growth 5yr High Est,-0.24367987944857145
Growth 5yr Consensus Est,-0.29026974046214943
Growth 5yr Actual/Est,0.043723125396154784
Growth 3yr Historic,0.24165029469548135
Price/Earnings (TTM),9.03735
Price/Sales (TTM),1.56874
Price/Book (MRQ),2.41964
Price/Cash Flow (TTM),7.37096
5yr Low,38.44
5yr High,92.49
5yr Avg Return,0.015566666666666673
EPS Growth 5yr,0.1383969
Revenue Growth 5yr,0.019237999999999998
Dividend Growth 5yr,0.1258996
Short Int Current Month,870611.0
Short Int Prev Month,872499.0
Short Int Pct of Float,0.050627399999999996
Days to Cover,6.47468
Float,17.2416
Shares Outstanding,17.66653
Institutions Holding Shares,272.0
FCF Growth 5yr,0.3922950797609084
"Price/Earnings (TTM, GAAP)",9.04
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3318
Operating Profit Margin (TTM),0.20920000000000002
Net Profit Margin (TTM),0.1749
Annual Dividend Yield,0.0443
Dividend Change %,2.2947
"Dividend Growth Rate, 3 Years",0.41700000000000004
EPS Growth (MRQ),-0.11539999999999999
EPS Growth (TTM),-0.2817
Revenue Growth (MRQ),-0.009000000000000001
Revenue Growth (TTM),-0.1602
Return On Equity (TTM),0.2919
Return On Assets (TTM),0.244
Return On Investment (TTM),0.2904
Revenue Per Employee (TTM),321475.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),4.81
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2020-04-24 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2021-04-16 00:00:00
cfra since,
marketEdge opinion since,
