,SANA
% Above Low,0.1822
% Held by Institutions,0.899
52-Wk Range,['3.93 - 19.69']
Annual Dividend $,
Annual Dividend %,
Ask,4.64
Ask Size,400.0
B/A Ratio,1.25
B/A Size,500x400
Beta,
Bid,4.63
Bid Size,500.0
Day Change $,-0.19
Day Change %,-0.0393
Day High,4.84
Day Low,4.64
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.61
Ex-dividend Date,No dividend
Historical Volatility,1.013
Last (size),6.0
Last (time),1:37p ET 11/28/22
Market Cap,888.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.83
Price,4.64
Short Interest,0.14730000000000001
Today's Open,4.78
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-15 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.21739130434782616
Growth 2yr High Est,0.34838709677419333
Growth 2yr Consensus Est,0.28288920056100975
Growth 5yr Low Est,0.21739130434782616
Growth 5yr High Est,0.34838709677419333
Growth 5yr Consensus Est,0.28288920056100975
Growth 5yr Actual/Est,-0.2156164325726626
Growth 3yr Historic,-0.27162629757785467
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),1.62034
Price/Cash Flow (TTM),
5yr Low,3.93
5yr High,44.6
5yr Avg Return,-0.629
Short Int Current Month,24930108.0
Short Int Prev Month,25438966.0
Short Int Pct of Float,0.1472778
Days to Cover,20.82119
Float,169.277
Shares Outstanding,190.7265
Institutions Holding Shares,185.0
FCF Growth 5yr,0.20223809129709983
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1642
EPS Growth (TTM),0.22440000000000002
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.4294
Return On Assets (TTM),-0.28140000000000004
Return On Investment (TTM),-0.3116
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-25 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
