,SBOW
% Above Low,0.7515999999999999
% Held by Institutions,0.9690000000000001
52-Wk Range,['19.00 - 49.91']
Annual Dividend $,
Annual Dividend %,
Ask,33.3
Ask Size,300.0
B/A Ratio,3.0
B/A Size,900x300
Beta,2.4
Bid,33.25
Bid Size,900.0
Day Change $,-2.41
Day Change %,-0.0675
Day High,34.02
Day Low,32.84
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",14.03
Ex-dividend Date,No dividend
Historical Volatility,0.731
Last (size),100.0
Last (time),1:42p ET 11/28/22
Market Cap,742.5M
"P/E Ratio (TTM, GAAP)",2.54
Prev Close,35.69
Price,33.28
Short Interest,0.058600000000000006
Today's Open,33.51
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.5110091743119265
Growth 2yr High Est,0.16896120150187732
Growth 2yr Consensus Est,0.3399851879069019
Growth 5yr Low Est,0.5110091743119265
Growth 5yr High Est,0.16896120150187732
Growth 5yr Consensus Est,0.3399851879069019
Growth 5yr Actual/Est,33.06695977536729
Growth 3yr Historic,-0.36004915320413944
Price/Earnings (TTM),2.54449
Price/Sales (TTM),1.12814
Price/Book (MRQ),1.29053
Price/Cash Flow (TTM),2.02301
5yr Low,1.5
5yr High,49.91
5yr Avg Return,0.4499
EPS Growth 5yr,-0.3789263
Revenue Growth 5yr,0.19887619999999998
Dividend Growth 5yr,
Short Int Current Month,1112096.0
Short Int Prev Month,1395805.0
Short Int Pct of Float,0.058629
Days to Cover,3.35667
Float,21.59585
Shares Outstanding,22.30974
Institutions Holding Shares,155.0
FCF Growth 5yr,-3.1606830645594965
"Price/Earnings (TTM, GAAP)",2.54
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9101
Operating Profit Margin (TTM),0.6484000000000001
Net Profit Margin (TTM),0.3986
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.27030000000000004
EPS Growth (TTM),11.081800000000001
Revenue Growth (MRQ),0.32630000000000003
Revenue Growth (TTM),1.2818
Return On Equity (TTM),0.7967000000000001
Return On Assets (TTM),0.2459
Return On Investment (TTM),0.3084
Revenue Per Employee (TTM),11383740.0
Total Debt/Total Capital (MRQ),0.5038
Change in Debt/Total Capital Quarter over Quarter,-0.003
Quick Ratio (MRQ),
Interest Coverage (MRQ),23.14
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-25 00:00:00
theStreet since,2022-09-07 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
